time,temperature,humidity,vbat_mV
00:00:23,27.4,82,4037
00:05:30,27.5,82,4037
00:10:36,27.5,82,4037
00:15:43,27.5,83,4037
00:20:50,27.5,83,4037
00:25:56,27.6,83,4037
00:31:03,27.6,83,4037
00:36:10,27.6,83,4037
00:41:16,27.7,83,4037
00:46:23,27.6,83,4037
00:51:30,27.6,83,4037
00:56:36,27.6,83,4037
01:01:43,27.2,74,4037
01:06:50,26.9,67,4037
01:11:57,26.6,64,4037
01:17:03,26.4,65,4037
01:22:10,26.3,65,4037
01:27:17,26.2,66,4037
01:32:23,26.1,66,4037
01:37:30,26.0,66,4037
01:42:37,25.9,66,4037
01:47:43,25.7,64,4037
01:52:50,25.6,64,4037
01:57:57,25.5,65,4037
02:03:04,25.5,65,4037
02:08:10,25.4,65,4037
02:13:17,25.4,65,4037
02:18:24,25.3,62,4037
02:23:30,25.2,63,4037
02:28:37,25.2,64,4037
02:33:44,25.1,64,4037
02:38:51,25.1,64,4037
02:43:57,25.1,64,4037
02:49:04,25.0,63,4037
02:54:11,25.0,65,4037
02:59:17,25.1,69,4037
03:04:24,25.2,71,4037
03:09:31,25.3,72,4037
03:14:38,25.4,74,4037
03:19:44,25.4,75,4037
03:24:51,25.5,75,4037
03:29:58,25.6,76,4037
03:35:04,25.6,76,4037
03:40:11,25.7,77,4037
03:45:18,25.7,78,4037
03:50:24,25.8,78,4037
03:55:31,25.8,79,4037
04:00:38,25.8,79,4037
04:05:45,25.8,79,4037
04:10:51,25.8,79,4037
04:15:58,25.9,79,4037
04:21:04,25.9,80,4037
04:26:11,25.9,80,4037
04:31:18,26.0,80,4037
04:36:25,26.0,80,4037
04:41:31,26.0,80,4037
04:46:38,26.0,80,4037
04:51:45,26.0,81,4037
04:56:52,26.0,81,4037
05:01:58,26.0,81,4037
05:07:05,26.1,81,4037
05:12:12,26.1,81,4037
05:17:19,26.1,81,4037
05:22:25,26.1,81,4037
05:27:32,26.1,81,4037
05:32:39,26.1,81,4037
05:37:45,26.1,81,4037
05:42:52,26.1,81,4037
05:47:59,26.1,81,4037
05:53:05,26.1,82,4037
05:58:12,26.1,82,4037
