time,temperature,humidity
2:25:42,23.70,55.20
2:25:42,23.80,55.10
2:25:42,23.70,55.20
2:25:42,23.80,55.10
2:25:42,23.50,55.00
2:25:42,23.50,55.00
2:25:42,23.50,55.00
2:25:42,23.50,55.00
2:25:42,23.50,55.01
2:25:42,23.51,55.01
2:25:42,23.51,55.01
2:25:42,23.51,55.01
2:25:42,23.51,55.01
2:25:42,23.51,55.01
2:25:42,23.51,55.01
2:25:42,23.51,55.01
2:25:42,23.51,55.01
2:25:42,23.51,55.01
2:25:42,23.51,55.01
00:02:32,27.44,68.61,3303
00:10:02,26.55,64.86,3296
00:17:33,25.84,61.85,3301
00:25:02,26.01,63.03,3283
00:32:33,25.95,63.68,3288
00:40:03,25.94,63.57,3275
00:47:34,25.54,61.21,3302
00:55:05,25.69,62.57,3308
01:02:36,25.70,62.97,3289
01:10:06,25.74,63.07,3289
01:17:37,25.71,61.89,3309
01:25:07,25.56,61.54,3297
01:32:38,25.64,61.93,3296
01:40:08,25.69,61.86,3289
01:47:39,25.62,62.00,3295
01:55:10,25.28,60.82,3282
02:02:40,25.52,61.15,3301
02:10:11,25.53,61.37,3289
02:17:41,25.52,61.47,3297
02:25:12,25.28,61.94,3295
02:32:42,25.84,66.71,3283
02:40:13,26.08,69.32,3283
02:47:43,26.30,70.30,3296
02:55:13,26.47,71.43,3295
03:02:44,26.61,72.36,3295
03:10:15,26.71,73.09,3282
03:17:46,26.84,73.28,3289
03:25:16,26.92,75.38,3297
03:32:46,27.03,75.36,3277
03:40:17,27.10,75.56,3296
03:47:46,27.17,75.37,3283
03:55:17,27.25,75.58,3290
04:02:47,27.34,75.66,3308
04:10:18,27.39,75.25,3283
04:17:48,27.47,75.32,3290
04:25:19,27.52,75.28,3301
04:32:49,27.55,75.17,3295
04:40:20,27.56,74.83,3303
04:47:50,27.64,75.39,3296
04:55:20,27.66,75.42,3296
05:02:50,27.70,75.77,3295
05:10:21,27.72,75.92,3303
05:17:52,27.75,76.37,3291
05:25:22,27.80,76.11,3290
05:32:53,27.80,76.06,3283
05:40:23,27.80,76.14,3296
05:47:53,27.81,76.22,3297
05:55:24,27.81,76.07,3302
06:02:54,27.83,76.38,3295
06:10:24,27.85,75.84,3283
06:17:55,27.87,76.10,3288
06:25:25,27.90,76.01,3295
06:32:56,27.91,75.97,3295
06:40:26,27.94,75.96,3289
06:47:57,27.93,76.09,3302
06:55:27,27.95,76.24,3296
07:02:58,27.99,76.13,3296
07:10:29,27.97,76.09,3284
07:18:00,27.99,76.13,3289
07:25:30,28.03,76.06,3289
07:33:01,28.10,76.54,3296
07:36:05,28.13,76.68,3290
