time,temperature,humidity,vbat_mV
00:03:03,26.43,72.10,3961
00:10:34,26.66,74.64,3960
00:18:04,26.86,76.10,3960
00:25:34,27.01,76.37,3960
00:33:05,27.18,76.76,3960
00:40:36,27.13,71.96,3960
00:48:06,26.59,65.44,3960
00:55:36,26.44,66.20,3961
01:03:07,26.30,65.97,3961
01:10:37,26.20,65.69,3962
01:18:07,25.99,62.75,3961
01:25:38,25.95,64.12,3959
01:33:08,25.95,64.47,3961
01:40:39,25.91,64.57,3961
01:48:10,25.85,62.15,3961
01:55:41,25.73,63.09,3960
02:03:11,25.70,63.64,3954
02:10:42,25.73,63.79,3961
02:18:12,25.74,63.95,3960
02:25:43,25.60,62.40,3960
02:33:13,25.61,63.28,3953
02:40:43,25.66,65.74,3960
02:48:13,25.87,70.53,3961
02:55:43,26.11,73.20,3960
03:03:14,26.35,74.09,3959
03:10:44,26.56,75.64,3960
03:18:15,26.71,76.13,3961
03:25:46,26.86,76.99,3960
03:33:17,26.97,77.27,3961
03:40:47,27.09,77.77,3961
03:48:19,27.19,78.70,3959
03:55:50,27.27,79.22,3961
04:03:21,27.35,79.41,3961
04:10:51,27.44,79.13,3961
04:18:21,27.51,79.17,3961
04:25:51,27.55,78.84,3960
04:33:22,27.60,79.28,3961
04:40:52,27.66,78.96,3961
04:48:23,27.71,79.37,3961
04:55:54,27.73,79.53,3960
05:03:24,27.78,79.52,3961
05:10:54,27.83,79.51,3960
05:18:25,27.82,79.37,3960
05:25:55,27.86,79.36,3962
05:33:25,27.89,79.61,3961
05:40:55,27.91,79.49,3960
05:48:26,27.92,79.40,3961
05:55:57,27.95,79.30,3960
06:03:28,28.01,79.41,3961
06:10:59,28.01,79.79,3959
06:18:30,28.03,79.70,3961
06:26:01,28.02,79.75,3960
06:33:31,28.07,79.67,3959
06:41:02,28.06,79.77,3961
06:48:32,28.09,79.68,3960
06:56:04,28.11,79.85,3961
07:03:34,28.12,79.80,3961
07:11:05,28.14,79.74,3959
07:18:36,28.16,79.79,3961
07:26:06,28.19,79.77,3961
07:33:36,28.20,79.63,3960
07:41:07,28.24,79.73,3959
07:48:38,28.27,79.88,3961
07:56:08,28.34,79.89,3961
08:03:39,28.41,79.79,3961
08:11:09,28.53,80.14,3960
08:18:40,28.57,79.63,3961
08:26:11,28.62,79.60,3961
08:33:41,28.73,79.30,3962
08:41:12,28.84,79.17,3960
08:48:42,28.18,64.90,3960
08:56:13,27.58,60.55,3961
09:03:43,27.37,64.24,3961
09:11:14,27.36,67.34,3959
09:18:45,27.44,68.13,3961
09:26:16,27.50,69.13,3961
09:33:47,27.46,66.20,3960
09:41:18,27.53,67.15,3961
09:48:48,27.56,67.46,3961
09:56:19,27.61,67.11,3961
10:03:49,27.46,64.24,3961
10:11:20,27.53,66.06,3960
10:18:51,27.58,68.07,3960
10:26:21,27.63,67.79,3961
10:33:52,27.63,67.18,3960
10:41:22,27.61,67.86,3960
10:48:52,27.65,67.77,3961
10:56:23,27.71,67.70,3959
11:03:54,27.80,67.00,3960
11:11:24,27.68,65.61,3960
11:18:55,27.75,67.06,3960
11:26:26,27.80,67.42,3959
11:33:56,27.84,67.91,3961
11:41:26,27.74,66.44,3960
11:48:58,27.85,68.23,3961
11:56:29,27.92,69.46,3961
12:03:59,28.01,69.44,3961
12:11:30,27.89,65.83,3961
12:19:01,27.92,67.65,3961
12:26:31,28.03,67.84,3959
12:34:02,28.04,67.46,3960
12:41:33,28.13,67.58,3960
12:49:04,28.03,66.17,3960
12:56:35,28.11,66.97,3961
13:04:05,28.17,67.01,3960
13:11:36,28.19,66.79,3961
13:19:06,28.07,64.77,3959
13:26:37,28.08,65.73,3960
13:34:07,28.10,65.98,3961
13:41:38,28.11,65.38,3960
13:49:09,28.01,63.87,3960
13:56:39,28.08,65.97,3960
14:04:10,28.13,66.27,3960
14:11:40,28.20,66.10,3960
14:19:11,28.14,63.30,3960
14:26:41,28.13,65.10,3960
14:34:12,28.17,66.43,3961
14:41:42,28.24,65.85,3960
