time,temperature,humidity
0:00:55,27.99,59.71
0:01:56,27.99,59.97
0:02:56,28,60.19
0:03:57,27.96,60.47
0:04:57,28,61.85
0:05:58,28,61.85
0:06:58,27.97,62
0:07:59,27.97,62
0:08:59,27.97,62.09
0:10:00,27.95,62.02
0:11:00,27.92,62.2
0:12:01,27.93,62.06
0:13:01,27.88,62.23
0:14:02,27.89,64.03
0:15:02,27.77,63.92
0:16:38,27.43,66.14
0:17:39,27.32,66.01
0:18:39,27.31,66.16
0:19:40,27.22,66.13
0:20:40,27.16,66.8
0:21:41,27.15,66.84
0:22:41,27.16,66.71
0:23:42,27.12,66.67
0:24:42,27.08,65.66
0:25:43,27,63.91
0:26:43,26.87,63.6
0:27:44,26.85,64
0:28:44,26.89,65.31
0:29:45,26.94,66.33
0:30:45,26.99,67.15
0:31:46,27.06,68.13
0:32:46,27.09,69.29
0:33:47,27.11,69.7
0:34:47,27.17,70.04
0:35:48,27.22,70.75
0:36:48,27.23,71.57
0:37:49,27.29,71.89
0:38:49,27.33,72.33
0:39:50,27.34,72.92
0:40:50,27.38,73.04
0:41:51,27.4,73.65
0:42:52,27.43,73.99
0:43:52,27.49,74.36
0:44:52,27.5,74.68
0:45:53,27.54,75.46
0:46:54,27.54,75.82
0:47:54,27.58,75.76
0:48:55,27.6,76.03
0:49:55,27.61,76.84
0:50:56,27.65,77.13
0:51:56,27.63,75.77
0:52:57,27.52,72.95
0:53:58,27.41,70.37
0:54:58,27.25,68.04
0:55:58,27.11,66.22
0:56:59,26.94,64.98
0:58:00,26.86,63.33
0:59:00,26.71,62.02
1:00:01,26.62,61.65
1:01:01,26.54,60.5
1:02:02,26.5,60.13
1:03:02,26.41,59.81
1:04:03,26.38,59.58
1:05:03,26.34,59.01
1:06:04,26.3,59.22
1:07:04,26.21,58.66
1:08:05,26.22,58.94
1:09:06,26.23,60.04
1:10:06,26.26,60.36
1:11:07,26.27,60.76
1:12:07,26.26,61.26
1:13:08,26.27,61.67
1:14:08,26.28,61.95
1:15:09,26.27,62.08
1:16:09,26.29,62.43
1:17:10,26.3,62.57
1:18:10,26.3,62.84
1:19:11,26.28,63.06
1:20:11,26.3,63.02
1:21:12,26.29,63.28
1:22:12,26.32,63.32
1:23:13,26.29,63.35
1:24:13,26.31,63.59
1:25:14,26.28,63.65
1:26:14,26.3,63.62
1:27:15,26.3,63.71
