TIME,TEMP(C),RH (%)
09:46:27,28.67,78.53
09:46:33,28.67,78.91
09:46:37,28.64,79.19
09:46:42,28.66,79.38
09:46:48,28.69,79.35
09:46:52,28.65,79.44
09:46:57,28.69,79.46
09:47:02,28.67,79.18
09:47:08,28.69,78.99
09:47:13,28.68,78.88
09:47:17,28.68,78.68
09:47:23,28.69,78.64
09:47:27,28.70,78.83
09:47:33,28.69,78.99
09:47:37,28.71,78.95
09:47:43,28.69,78.76
09:47:48,28.71,78.98
09:47:53,28.69,79.64
09:47:58,28.71,79.68
09:48:03,28.72,79.58
09:48:08,28.74,79.47
09:48:13,28.72,79.33
10:02:14,29.26,77.24
10:02:19,29.28,77.18
10:04:01,29.48,77.07
10:04:06,29.50,76.83
10:04:11,29.51,76.72
10:04:16,29.51,76.67
10:04:21,29.50,76.67
10:04:26,29.55,76.75
10:04:31,29.53,76.79
10:04:36,29.52,76.88
10:04:41,29.53,76.70
10:04:46,29.53,76.52
10:04:51,29.52,76.59
10:04:56,29.53,76.65
10:05:01,29.51,76.63
10:05:06,29.50,76.60
10:05:11,29.54,76.61
10:05:16,29.51,76.63
10:05:21,29.51,76.61
10:05:26,29.49,76.66
10:05:31,29.51,76.68
10:05:37,29.50,76.70
10:05:41,29.50,76.72
10:05:46,29.50,76.78
10:05:52,29.49,76.91
10:05:56,29.48,77.26
10:06:01,29.50,77.46
10:06:06,29.48,77.43
10:06:11,29.46,77.41
10:06:16,29.47,77.39
10:06:22,29.46,77.34
10:06:27,29.47,77.31
10:06:31,29.47,77.22
10:06:36,29.43,77.12
10:06:41,29.45,77.05
10:06:47,29.45,77.07
10:06:52,29.44,77.01
10:06:56,29.44,77.01
10:07:02,29.42,77.00
10:07:06,29.42,77.01
10:07:11,29.44,77.04
10:07:17,29.43,77.02
10:07:21,29.42,77.17
10:07:27,29.41,77.16
10:08:58,29.44,77.76
10:09:03,29.44,77.73
10:09:08,29.41,77.77
10:09:13,29.43,77.87
10:09:18,29.41,77.82
10:09:23,29.43,77.79
10:09:28,29.43,77.75
10:09:33,29.42,77.74
10:09:38,29.42,77.62
10:09:43,29.45,77.50
10:09:48,29.43,77.48
10:09:53,29.45,77.55
10:09:58,29.44,77.57
10:10:03,29.44,77.53
10:10:08,29.46,77.41
10:10:13,29.46,77.34
10:10:18,29.45,77.32
10:10:23,29.43,77.44
10:10:28,29.45,77.54
10:10:33,29.44,77.57
10:10:38,29.43,77.57
10:10:43,29.43,77.57
10:10:48,29.44,77.54
10:10:53,29.45,77.52
10:10:58,29.44,77.51
10:11:03,29.44,77.42
10:11:08,29.44,77.40
10:11:13,29.44,77.50
10:11:18,29.45,77.55
10:11:23,29.41,77.50
10:11:28,29.42,77.48
10:11:33,29.41,77.50
10:11:38,29.41,77.47
10:11:43,29.43,77.49
10:11:48,29.41,77.50
10:11:53,29.44,77.49
10:11:58,29.42,77.90
10:12:03,29.43,78.04
10:12:08,29.42,77.72
10:12:13,29.41,77.45
10:12:18,29.42,77.43
10:12:23,29.43,77.49
10:12:28,29.42,77.40
10:12:33,29.42,77.32
10:12:38,29.41,77.26
10:12:43,29.41,77.22
10:12:48,29.41,77.22
10:12:53,29.41,77.26
10:12:58,29.40,77.28
10:13:03,29.41,77.28
10:13:08,29.40,77.29
10:13:13,29.41,77.29
10:13:18,29.39,77.31
10:13:23,29.42,77.37
10:13:28,29.38,77.38
10:13:33,29.38,77.39
10:13:38,29.38,77.38
10:13:43,29.38,77.36
10:13:48,29.38,77.38
10:13:53,29.40,77.43
10:13:58,29.39,77.50
10:14:03,29.38,77.58
10:14:08,29.36,77.59
10:14:13,29.35,77.55
10:14:18,29.34,77.44
10:14:23,29.35,77.35
10:14:28,29.37,77.37
10:14:33,29.34,77.41
10:14:38,29.34,77.49
10:14:43,29.33,77.50
10:14:48,29.36,77.52
10:14:53,29.33,77.51
10:14:58,29.33,77.52
10:15:03,29.34,77.49
10:15:08,29.32,77.47
10:15:14,29.32,77.46
10:15:18,29.33,77.56
10:15:23,29.32,77.68
10:15:28,29.30,77.74
10:15:33,29.31,77.78
10:15:38,29.30,77.77
10:15:43,29.30,77.79
10:15:48,29.30,77.73
10:15:53,29.27,77.68
10:15:58,29.30,77.54
10:16:03,29.29,77.46
10:16:08,29.29,77.39
10:16:13,29.30,77.49
10:16:18,29.29,77.54
10:16:24,29.30,77.49
10:16:28,29.28,77.45
10:16:34,29.29,77.43
10:16:38,29.28,77.40
10:16:44,29.28,77.36
10:16:49,29.26,77.38
10:16:54,29.28,77.39
10:16:59,29.29,77.41
10:17:04,29.27,77.39
10:17:09,29.28,77.42
10:17:14,29.24,77.38
10:17:19,29.24,77.37
10:17:24,29.26,77.38
10:17:28,29.27,77.44
10:17:34,29.25,77.47
10:17:39,29.24,77.54
10:17:44,29.24,77.61
10:17:49,29.24,77.65
10:17:54,29.25,77.67
10:17:59,29.24,77.59
10:18:04,29.25,77.56
10:18:09,29.25,77.52
10:18:14,29.24,77.52
10:18:19,29.24,77.55
10:18:24,29.23,77.56
10:18:29,29.24,77.63
10:18:34,29.22,77.62
10:18:39,29.22,77.71
10:18:44,29.23,77.68
10:18:49,29.24,77.65
10:18:54,29.22,77.66
10:18:59,29.24,77.65
10:19:04,29.21,77.64
10:19:09,29.22,77.67
10:19:14,29.22,77.64
10:19:19,29.22,77.63
10:19:24,29.22,77.63
10:19:29,29.22,77.82
10:19:34,29.23,78.09
10:19:39,29.22,78.36
10:19:44,29.22,78.45
10:19:49,29.21,78.49
10:19:54,29.23,78.42
10:19:59,29.21,78.34
10:20:04,29.21,78.30
10:20:09,29.24,78.26
10:20:14,29.23,78.11
10:20:19,29.23,78.07
10:20:24,29.25,78.08
10:20:29,29.22,78.10
10:20:34,29.22,78.17
10:20:39,29.23,78.16
10:20:44,29.22,78.12
10:20:49,29.24,78.08
10:20:54,29.25,78.03
10:20:59,29.21,77.95
10:21:04,29.23,77.94
10:21:09,29.21,77.93
10:21:14,29.22,77.95
10:21:19,29.22,77.89
10:21:24,29.21,77.83
10:21:29,29.21,77.89
10:21:34,29.20,77.94
10:21:39,29.21,78.00
10:21:44,29.23,78.03
10:21:49,29.20,78.02
10:21:54,29.22,78.01
10:21:59,29.20,78.01
10:22:04,29.20,78.00
10:22:09,29.21,77.97
10:22:14,29.20,77.99
10:22:19,29.21,78.01
10:22:24,29.20,78.05
10:22:29,29.20,78.08
10:22:34,29.19,78.03
10:22:39,29.20,77.93
10:22:44,29.22,77.85
10:22:49,29.20,77.77
10:22:54,29.18,77.73
10:22:59,29.20,77.76
10:23:04,29.20,77.80
10:23:09,29.18,77.87
10:23:14,29.21,77.96
10:23:19,29.18,78.00
