TIME,TEMP(C),RH (%)
13:45:01,30.68,59.04
13:45:06,30.69,59.03
13:46:01,30.62,59.38
13:46:06,30.61,59.42
13:46:11,30.63,59.40
13:47:07,30.65,59.40
13:47:12,30.63,59.39
13:47:17,30.60,59.35
13:47:22,30.61,59.35
13:47:27,30.62,59.36
13:47:32,30.63,59.38
13:47:37,30.62,59.42
13:47:42,30.63,59.45
13:47:47,30.63,59.51
13:47:53,30.61,59.51
13:47:57,30.62,59.51
13:48:02,30.62,59.54
13:48:07,30.63,59.51
13:48:12,30.63,59.55
13:48:17,30.63,59.56
13:48:22,30.63,59.55
13:48:27,30.66,59.64
13:48:33,30.66,59.55
13:48:37,30.65,59.47
13:48:42,30.67,59.47
13:48:47,30.68,59.43
13:48:52,30.69,59.36
13:48:58,30.70,59.35
13:49:02,30.69,59.36
13:49:07,30.72,59.36
13:49:13,30.72,59.35
13:49:18,30.73,59.32
13:49:23,30.75,59.30
13:49:27,30.74,59.40
13:49:33,30.74,59.53
13:49:38,30.75,59.56
13:49:42,30.75,59.65
13:49:48,30.77,59.76
13:49:52,30.76,59.72
13:49:58,30.78,59.59
13:50:03,30.78,59.54
13:50:08,30.78,59.53
13:50:13,30.78,59.67
13:50:17,30.81,59.98
13:50:23,30.80,59.74
13:50:28,30.78,59.80
13:50:33,30.80,59.84
13:50:38,30.80,59.96
13:50:42,30.81,60.50
13:50:48,30.82,60.35
13:50:53,30.82,59.86
13:50:58,30.85,59.63
13:51:03,30.86,59.56
13:51:08,30.85,59.90
13:51:13,30.89,60.19
13:51:18,30.90,59.89
13:51:23,30.91,59.61
13:51:28,30.92,60.00
13:51:33,30.90,60.37
13:51:38,30.91,60.06
13:51:43,30.93,60.30
13:51:48,30.94,60.31
13:51:53,30.94,59.98
13:51:58,30.93,59.82
13:52:03,30.97,59.82
13:52:08,30.97,59.92
