Timestamp(ms),Current(uA)
8.12,12.649
8.13,12.605
8.14,12.693
8.15,12.474
8.16,12.649
8.17,12.781
8.18,12.737
8.19,12.737
8.2,12.649
8.21,12.693
8.22,12.737
8.23,12.693
8.24,12.869
8.25,12.737
8.26,12.781
8.27,12.781
8.28,12.825
8.29,12.869
8.3,13.001
8.31,12.781
8.32,12.825
8.33,12.913
8.34,12.957
8.35,12.957
8.36,12.825
8.37,12.957
8.38,12.913
8.39,13.089
8.4,12.913
8.41,12.913
8.42,12.913
8.43,13.045
8.44,13.001
8.45,13.132
8.46,13.132
8.47,13.176
8.48,13.045
8.49,13.089
8.5,13.132
8.51,12.957
8.52,13.001
8.53,13.132
8.54,13.220
8.55,13.176
8.56,13.132
8.57,13.176
8.58,13.176
8.59,13.264
8.6,13.264
8.61,13.264
8.62,13.045
8.63,13.264
8.64,13.220
8.65,13.308
8.66,13.220
8.67,13.176
8.68,13.396
8.69,13.440
8.7,13.308
8.71,13.484
8.72,13.352
8.73,13.352
8.74,13.396
8.75,13.396
8.76,13.352
8.77,13.440
8.78,13.440
8.79,13.528
8.8,13.528
8.81,13.440
8.82,13.572
8.83,13.484
8.84,13.528
8.85,13.440
8.86,13.616
8.87,13.572
8.88,13.572
8.89,13.484
8.9,13.484
8.91,13.484
8.92,13.704
8.93,13.660
8.94,13.572
8.95,13.572
8.96,13.528
8.97,13.660
8.98,13.528
8.99,13.704
9,13.440
9.01,13.572
9.02,13.704
9.03,13.835
9.04,13.704
9.05,13.748
9.06,13.704
9.07,13.748
9.08,13.748
9.09,13.704
9.1,13.748
9.11,13.879
9.12,13.791
9.13,13.704
9.14,13.879
9.15,13.704
9.16,13.879
9.17,13.923
9.18,13.879
9.19,13.791
9.2,13.879
9.21,13.879
9.22,14.011
9.23,13.923
9.24,13.835
9.25,13.967
9.26,14.055
9.27,13.835
9.28,13.879
9.29,13.967
9.3,14.011
9.31,13.967
9.32,14.011
9.33,13.967
9.34,13.967
9.35,13.923
9.36,14.011
9.37,14.143
9.38,13.967
9.39,14.143
9.4,14.187
9.41,14.055
9.42,13.967
9.43,13.967
9.44,14.099
9.45,14.143
9.46,14.099
9.47,14.099
9.48,14.055
9.49,14.055
9.5,14.055
9.51,14.055
9.52,14.099
9.53,14.099
9.54,14.099
9.55,14.187
9.56,14.143
9.57,14.187
9.58,14.231
9.59,14.143
9.6,14.099
9.61,14.143
9.62,14.187
9.63,14.187
9.64,14.231
9.65,14.275
9.66,14.319
9.67,14.187
9.68,14.275
9.69,14.450
9.7,14.275
9.71,14.187
9.72,14.319
9.73,14.143
9.74,14.231
9.75,14.319
9.76,14.406
9.77,14.363
9.78,14.406
9.79,14.363
9.8,14.187
9.81,14.450
9.82,14.363
9.83,14.363
9.84,14.363
9.85,14.406
9.86,14.363
9.87,14.494
9.88,14.319
9.89,14.406
9.9,14.319
9.91,14.363
9.92,14.406
9.93,14.450
9.94,14.363
9.95,14.406
9.96,14.275
9.97,14.538
9.98,14.450
