Timestamp(ms),Current(uA)
102.01,9.486
102.02,9.311
102.03,9.223
102.04,9.574
102.05,9.794
102.06,9.355
102.07,9.135
102.08,9.223
102.09,9.399
102.1,9.618
102.11,9.530
102.12,9.706
102.13,9.399
102.14,9.618
102.15,9.662
102.16,9.399
102.17,9.794
102.18,9.926
102.19,9.355
102.2,9.355
102.21,9.970
102.22,9.926
102.23,9.442
102.24,9.574
102.25,9.399
102.26,9.662
102.27,9.574
102.28,9.838
102.29,9.662
102.3,9.530
102.31,9.970
102.32,10.145
102.33,9.574
102.34,9.618
102.35,9.882
102.36,9.706
102.37,9.618
102.38,9.311
102.39,9.486
102.4,9.179
102.41,9.750
102.42,10.321
102.43,10.365
102.44,11.068
102.45,10.453
102.46,10.101
102.47,9.926
102.48,9.574
102.49,9.926
102.5,9.442
102.51,10.321
102.52,10.541
102.53,10.716
102.54,10.541
102.55,10.057
102.56,9.662
102.57,9.442
102.58,9.399
102.59,9.530
102.6,10.365
102.61,10.892
102.62,10.672
102.63,10.233
102.64,10.101
102.65,9.750
102.66,9.662
102.67,9.838
102.68,10.014
102.69,10.277
102.7,10.629
102.71,10.936
102.72,10.936
102.73,10.453
102.74,10.057
102.75,9.574
102.76,9.618
102.77,10.145
102.78,10.453
102.79,10.936
102.8,11.024
102.81,10.716
102.82,9.750
102.83,9.574
102.84,9.399
102.85,9.926
102.86,10.189
102.87,10.409
102.88,10.453
102.89,10.716
102.9,10.277
102.91,9.750
102.92,9.706
102.93,9.179
102.94,9.574
102.95,10.145
102.96,10.277
102.97,10.321
102.98,10.365
102.99,9.926
103,9.311
103.01,9.311
103.02,9.355
103.03,9.618
103.04,10.101
103.05,10.189
103.06,10.057
103.07,10.145
103.08,10.145
103.09,9.223
103.1,9.003
103.11,9.574
103.12,10.101
103.13,10.541
103.14,10.497
103.15,10.233
103.16,9.926
103.17,9.970
103.18,9.706
103.19,9.530
103.2,9.091
103.21,10.233
103.22,10.936
103.23,10.716
103.24,10.760
103.25,10.101
103.26,10.101
103.27,9.618
103.28,9.574
103.29,9.970
103.3,10.101
103.31,10.409
103.32,10.716
103.33,10.101
103.34,9.970
103.35,9.706
103.36,9.882
103.37,9.618
103.38,9.399
103.39,9.135
103.4,9.091
103.41,9.267
103.42,10.145
103.43,10.760
103.44,10.497
103.45,10.321
103.46,9.794
103.47,9.706
103.48,9.355
103.49,9.442
103.5,9.618
103.51,9.926
103.52,10.277
103.53,10.453
103.54,10.716
103.55,10.189
103.56,9.662
103.57,9.223
103.58,9.399
103.59,9.794
103.6,10.233
103.61,10.189
103.62,10.189
103.63,10.453
103.64,10.189
103.65,9.574
103.66,9.267
103.67,9.135
103.68,9.355
103.69,9.794
103.7,10.057
103.71,10.453
103.72,10.189
103.73,9.970
103.74,9.794
103.75,9.135
103.76,8.915
103.77,9.486
103.78,10.101
103.79,10.057
103.8,10.629
103.81,10.101
103.82,9.399
103.83,9.135
103.84,9.399
103.85,9.399
103.86,9.706
103.87,10.101
103.88,10.145
103.89,10.321
103.9,10.014
103.91,9.530
103.92,9.355
103.93,9.311
103.94,9.399
103.95,10.014
103.96,10.453
103.97,10.321
103.98,10.145
103.99,10.014
104,9.574
104.01,9.355
104.02,9.706
104.03,9.750
104.04,9.838
104.05,10.760
104.06,10.453
104.07,10.189
104.08,9.882
104.09,9.223
104.1,9.530
104.11,10.145
104.12,10.189
104.13,10.541
104.14,10.760
104.15,10.101
104.16,10.409
104.17,9.970
104.18,9.399
104.19,9.135
104.2,9.662
104.21,10.189
104.22,10.189
104.23,10.453
104.24,10.541
104.25,9.838
104.26,9.574
104.27,9.442
104.28,9.530
104.29,9.706
104.3,9.662
104.31,10.057
104.32,10.497
104.33,10.453
104.34,9.530
104.35,9.618
104.36,9.311
104.37,9.003
104.38,8.871
104.39,9.442
104.4,9.355
104.41,9.355
104.42,9.618
104.43,10.365
104.44,10.277
104.45,10.101
104.46,10.014
104.47,9.530
104.48,9.179
104.49,9.135
104.5,9.882
104.51,10.014
104.52,10.057
104.53,10.497
104.54,10.760
104.55,10.057
104.56,9.399
104.57,9.399
104.58,9.574
104.59,9.223
104.6,9.882
104.61,10.453
104.62,10.497
104.63,10.101
104.64,9.882
104.65,9.706
104.66,9.442
104.67,9.179
104.68,9.486
104.69,9.926
104.7,10.145
104.71,10.145
104.72,10.145
104.73,9.618
104.74,9.355
104.75,9.135
104.76,9.179
104.77,9.574
104.78,9.926
104.79,10.101
104.8,10.365
104.81,10.277
104.82,9.530
104.83,9.179
104.84,9.179
104.85,9.442
104.86,9.882
104.87,9.882
104.88,10.189
104.89,10.453
104.9,10.101
104.91,9.618
104.92,9.047
104.93,9.003
104.94,9.399
104.95,10.014
104.96,10.409
104.97,10.101
104.98,10.321
104.99,10.014
105,9.882
105.01,9.662
105.02,9.442
105.03,9.486
105.04,10.453
105.05,10.365
105.06,10.672
105.07,10.453
105.08,9.750
105.09,9.574
105.1,9.794
105.11,9.926
105.12,10.277
105.13,10.365
105.14,10.233
105.15,10.277
105.16,10.409
105.17,9.882
105.18,9.486
105.19,8.959
105.2,8.871
105.21,9.970
105.22,10.585
105.23,10.716
105.24,10.541
105.25,9.882
105.26,9.574
105.27,9.882
105.28,9.794
105.29,9.794
105.3,9.706
105.31,9.223
105.32,9.091
105.33,9.486
105.34,9.618
105.35,9.794
105.36,9.442
105.37,9.091
105.38,9.267
105.39,9.618
105.4,9.399
105.41,9.618
105.42,9.442
105.43,9.399
105.44,9.442
105.45,9.618
105.46,9.530
105.47,8.915
105.48,8.827
105.49,9.618
105.5,9.574
105.51,9.311
105.52,9.135
105.53,9.399
105.54,9.179
105.55,9.662
105.56,9.311
105.57,9.311
105.58,9.355
105.59,9.794
105.6,9.706
105.61,9.530
105.62,9.442
105.63,9.267
105.64,9.135
105.65,9.794
105.66,9.486
105.67,9.662
105.68,9.662
105.69,9.882
105.7,9.838
105.71,9.750
105.72,9.662
105.73,9.618
105.74,10.014
105.75,10.233
105.76,9.530
105.77,9.179
105.78,9.662
105.79,9.794
105.8,9.486
105.81,9.003
105.82,9.047
105.83,9.618
105.84,9.662
105.85,9.267
105.86,9.618
105.87,9.970
105.88,9.355
105.89,9.135
105.9,9.355
105.91,9.530
105.92,9.267
105.93,9.267
105.94,9.662
105.95,9.618
105.96,9.442
105.97,9.267
105.98,9.223
105.99,9.442
106,9.399
106.01,9.267
106.02,9.486
106.03,9.442
106.04,9.618
106.05,9.223
106.06,9.223
106.07,9.574
106.08,9.838
106.09,9.091
106.1,8.696
106.11,8.959
106.12,9.618
106.13,9.091
106.14,8.871
106.15,8.871
106.16,9.399
106.17,9.223
106.18,9.047
106.19,8.959
106.2,9.442
106.21,9.486
106.22,9.179
106.23,9.091
106.24,9.399
106.25,9.794
106.26,9.574
106.27,9.267
106.28,9.135
106.29,9.311
106.3,9.135
106.31,9.311
106.32,9.486
106.33,9.267
106.34,9.223
106.35,9.135
106.36,9.399
106.37,9.047
106.38,8.915
106.39,9.355
106.4,9.223
106.41,9.267
106.42,9.135
106.43,9.135
106.44,9.530
106.45,9.311
106.46,9.355
106.47,9.091
106.48,9.047
106.49,9.311
106.5,9.442
106.51,9.442
106.52,9.355
106.53,8.740
106.54,9.091
106.55,9.399
106.56,9.003
106.57,9.091
106.58,9.047
106.59,9.442
106.6,9.135
106.61,9.091
106.62,9.442
106.63,9.135
106.64,9.442
106.65,8.871
106.66,9.091
106.67,9.135
106.68,9.530
106.69,9.618
106.7,9.311
106.71,8.871
106.72,9.047
106.73,9.399
106.74,9.486
106.75,9.135
106.76,9.047
106.77,9.135
106.78,9.311
106.79,8.959
106.8,9.091
106.81,9.442
106.82,9.618
106.83,9.091
106.84,9.442
106.85,9.399
106.86,9.003
106.87,8.827
106.88,9.267
106.89,9.267
106.9,9.399
106.91,8.915
106.92,8.696
106.93,9.047
106.94,9.223
106.95,9.355
106.96,8.608
106.97,8.564
106.98,8.827
106.99,9.399
107,9.091
107.01,8.827
107.02,8.520
107.03,9.091
107.04,9.223
107.05,9.047
107.06,8.827
107.07,9.267
107.08,9.311
107.09,9.047
107.1,8.959
107.11,9.003
107.12,9.530
107.13,9.618
107.14,9.091
107.15,8.915
107.16,8.915
107.17,9.267
107.18,9.311
107.19,9.311
107.2,9.399
107.21,9.091
107.22,9.135
107.23,9.223
107.24,9.794
107.25,9.574
107.26,9.486
107.27,9.003
107.28,9.179
107.29,9.047
107.3,9.135
107.31,9.091
107.32,8.784
107.33,8.784
107.34,9.135
107.35,9.267
107.36,9.003
107.37,9.179
107.38,8.827
107.39,9.618
107.4,9.442
107.41,9.135
107.42,9.179
107.43,9.311
107.44,9.442
107.45,9.442
107.46,9.223
107.47,9.267
107.48,9.311
107.49,9.223
107.5,9.530
107.51,9.706
107.52,10.145
107.53,10.585
107.54,10.453
107.55,9.882
107.56,9.399
107.57,9.135
107.58,9.442
107.59,9.135
107.6,9.355
107.61,9.135
107.62,9.179
107.63,9.530
107.64,10.145
107.65,10.365
107.66,10.277
107.67,9.970
107.68,9.882
107.69,9.926
107.7,9.486
107.71,9.179
107.72,9.267
107.73,9.750
107.74,9.970
107.75,9.970
107.76,10.101
107.77,9.882
107.78,9.399
107.79,9.662
107.8,9.399
107.81,9.047
107.82,9.311
107.83,10.145
107.84,10.189
107.85,10.101
107.86,9.618
107.87,8.915
107.88,8.696
107.89,9.135
107.9,9.970
107.91,10.189
107.92,10.145
107.93,10.672
107.94,10.409
107.95,10.014
107.96,9.311
107.97,9.267
107.98,9.574
107.99,10.014
108,10.365
108.01,10.585
108.02,10.497
108.03,10.057
108.04,9.970
108.05,10.014
108.06,9.838
108.07,9.970
108.08,10.189
108.09,10.585
108.1,11.024
108.11,10.629
108.12,10.057
108.13,9.486
108.14,9.486
108.15,9.574
108.16,10.145
108.17,10.277
108.18,10.453
108.19,10.321
108.2,10.014
108.21,10.057
108.22,9.530
108.23,9.047
108.24,9.442
108.25,10.101
108.26,10.189
108.27,10.541
108.28,10.365
108.29,10.101
108.3,9.794
108.31,9.355
108.32,9.442
108.33,9.179
108.34,9.750
108.35,10.014
108.36,10.541
108.37,10.585
108.38,9.750
108.39,9.223
108.4,9.399
108.41,9.442
108.42,10.014
108.43,10.409
108.44,10.233
108.45,10.277
108.46,10.277
108.47,9.970
108.48,8.959
108.49,9.355
108.5,9.530
108.51,9.838
108.52,10.014
108.53,10.541
108.54,10.629
108.55,10.233
108.56,9.442
108.57,9.618
108.58,9.574
108.59,10.321
108.6,10.409
108.61,10.365
108.62,10.321
108.63,10.101
108.64,9.838
108.65,9.618
108.66,9.662
108.67,9.574
108.68,9.618
108.69,9.882
108.7,9.970
108.71,10.321
108.72,10.629
108.73,10.497
108.74,9.926
108.75,9.311
108.76,9.355
108.77,10.233
108.78,10.848
108.79,10.672
108.8,10.892
108.81,10.892
108.82,10.233
108.83,9.574
108.84,9.618
108.85,10.014
108.86,10.365
108.87,10.760
108.88,11.156
108.89,10.980
108.9,10.980
108.91,10.453
108.92,10.321
108.93,10.101
108.94,10.277
108.95,10.892
108.96,10.980
108.97,11.331
108.98,11.024
108.99,10.409
109,10.189
109.01,9.926
109.02,9.838
109.03,10.409
109.04,10.760
109.05,11.068
109.06,10.848
109.07,10.716
109.08,10.321
109.09,9.530
109.1,9.618
109.11,9.926
109.12,10.321
109.13,10.716
109.14,10.629
109.15,10.672
109.16,10.101
109.17,10.145
109.18,9.750
109.19,9.750
109.2,9.750
109.21,10.145
109.22,10.672
109.23,10.980
109.24,10.365
109.25,10.409
109.26,9.970
109.27,9.267
109.28,9.618
109.29,9.794
109.3,10.189
109.31,10.453
109.32,10.453
109.33,10.101
109.34,9.882
109.35,9.267
109.36,9.047
109.37,9.091
109.38,9.179
109.39,8.740
109.4,9.091
109.41,9.399
109.42,9.970
109.43,10.145
109.44,10.541
109.45,10.585
109.46,10.101
109.47,9.530
109.48,9.618
109.49,9.442
109.5,9.135
109.51,9.882
109.52,10.145
109.53,10.497
109.54,10.277
109.55,10.189
109.56,9.794
109.57,9.442
109.58,9.311
109.59,9.838
109.6,10.321
109.61,10.497
109.62,10.365
109.63,11.068
109.64,10.321
109.65,9.838
109.66,9.486
109.67,9.838
109.68,10.057
109.69,10.189
109.7,10.321
109.71,10.892
109.72,10.629
109.73,10.189
