Timestamp(ms),Current(uA)
0,10.101
0.01,10.409
0.02,10.321
0.03,10.233
0.04,10.189
0.05,9.970
0.06,9.970
0.07,9.355
0.08,9.311
0.09,9.486
0.1,9.574
0.11,9.618
0.12,9.618
0.13,10.497
0.14,10.672
0.15,10.585
0.16,10.629
0.17,10.760
0.18,10.189
0.19,10.145
0.2,9.882
0.21,9.530
0.22,10.145
0.23,10.804
0.24,11.112
0.25,10.672
0.26,10.101
0.27,9.926
0.28,9.706
0.29,9.970
0.3,10.014
0.31,10.145
0.32,10.101
0.33,10.541
0.34,10.497
0.35,10.365
0.36,9.926
0.37,9.486
0.38,9.838
0.39,10.014
0.4,10.277
0.41,10.497
0.42,10.497
0.43,10.629
0.44,10.453
0.45,9.970
0.46,9.838
0.47,9.706
0.48,10.145
0.49,10.409
0.5,10.585
0.51,10.321
0.52,10.629
0.53,10.541
0.54,9.706
0.55,9.574
0.56,9.267
0.57,9.794
0.58,10.497
0.59,10.453
0.6,10.453
0.61,10.321
0.62,10.321
0.63,10.101
0.64,9.838
0.65,9.838
0.66,10.321
0.67,10.321
0.68,10.672
0.69,10.541
0.7,10.497
0.71,9.970
0.72,10.057
0.73,9.926
0.74,10.145
0.75,10.145
0.76,10.585
0.77,10.804
0.78,11.068
0.79,10.716
0.8,10.233
0.81,10.145
0.82,9.970
0.83,10.014
0.84,10.541
0.85,10.804
0.86,11.024
0.87,10.716
0.88,10.541
0.89,10.277
0.9,10.453
0.91,9.926
0.92,10.277
0.93,10.541
0.94,10.980
0.95,11.156
0.96,11.024
0.97,10.848
0.98,10.541
0.99,10.365
1,10.277
1.01,10.497
1.02,10.629
1.03,10.980
1.04,10.848
1.05,10.848
1.06,10.233
1.07,10.321
1.08,10.101
1.09,10.497
1.1,10.365
1.11,10.321
1.12,10.409
1.13,10.365
1.14,11.156
1.15,11.200
1.16,11.156
1.17,10.716
1.18,10.541
1.19,10.497
1.2,10.321
1.21,10.057
1.22,10.189
1.23,10.014
1.24,10.057
1.25,9.970
1.26,10.233
1.27,10.716
1.28,10.365
1.29,10.541
1.3,9.838
1.31,9.970
1.32,9.706
1.33,10.014
1.34,10.014
1.35,10.541
1.36,10.804
1.37,10.848
1.38,10.760
