Timestamp(ms),Current(uA)
0,20.396
0.01,20.352
0.02,20.308
0.03,20.396
0.04,20.176
0.05,20.439
0.06,20.439
0.07,20.176
0.08,20.264
0.09,20.088
0.1,20.264
0.11,20.176
0.12,20.044
0.13,19.956
0.14,20.264
0.15,20.176
0.16,20.308
0.17,20.132
0.18,20.132
0.19,20.220
0.2,20.088
0.21,20.044
0.22,20.132
0.23,20.220
0.24,20.132
0.25,20.132
0.26,20.088
0.27,20.044
0.28,19.956
0.29,20.044
0.3,19.868
0.31,19.868
0.32,19.912
0.33,20.176
0.34,20.044
0.35,20.000
0.36,19.956
0.37,20.176
0.38,20.000
0.39,20.000
0.4,20.044
0.41,19.868
0.42,19.868
0.43,19.956
0.44,19.956
0.45,19.956
0.46,19.912
0.47,19.956
0.48,20.132
0.49,19.956
0.5,20.088
0.51,20.000
0.52,20.044
0.53,19.824
0.54,19.649
0.55,19.693
0.56,19.737
0.57,19.605
0.58,19.824
0.59,19.781
0.6,19.824
0.61,19.824
0.62,19.868
0.63,19.737
0.64,19.824
0.65,19.912
0.66,19.781
0.67,19.605
0.68,19.605
0.69,19.781
0.7,19.781
0.71,19.737
0.72,19.737
0.73,19.912
0.74,19.693
0.75,19.561
0.76,19.649
0.77,19.473
0.78,19.561
0.79,19.517
0.8,19.605
0.81,19.561
0.82,19.517
0.83,19.605
0.84,19.473
0.85,19.517
0.86,19.473
0.87,19.605
0.88,19.605
0.89,19.473
0.9,19.649
0.91,19.429
0.92,19.561
0.93,19.561
0.94,19.605
0.95,19.517
0.96,19.517
0.97,19.649
0.98,19.737
0.99,19.429
1,19.517
1.01,19.517
1.02,19.649
1.03,19.385
1.04,19.341
1.05,19.297
1.06,19.253
1.07,19.297
1.08,19.297
1.09,19.473
1.1,19.341
1.11,19.473
1.12,19.517
1.13,19.385
1.14,19.561
1.15,19.385
1.16,19.297
1.17,19.341
1.18,19.341
1.19,19.385
1.2,19.517
1.21,19.209
1.22,19.473
1.23,19.473
1.24,19.517
1.25,19.429
1.26,19.429
1.27,19.429
1.28,19.341
1.29,19.473
1.3,19.341
1.31,19.209
1.32,19.385
1.33,19.253
1.34,19.429
1.35,19.253
1.36,19.473
1.37,19.429
1.38,19.385
1.39,19.517
1.4,19.385
1.41,19.341
1.42,19.209
1.43,19.122
1.44,19.341
1.45,19.385
1.46,19.341
1.47,19.341
1.48,19.429
1.49,19.253
1.5,19.341
1.51,19.429
1.52,19.561
1.53,19.341
1.54,19.429
1.55,19.341
1.56,19.385
1.57,19.297
1.58,19.341
1.59,19.429
1.6,19.649
1.61,19.605
1.62,19.693
1.63,19.605
1.64,19.605
1.65,19.605
1.66,19.517
1.67,19.649
1.68,19.429
1.69,19.649
1.7,19.605
1.71,19.561
1.72,19.561
1.73,19.868
1.74,19.824
1.75,19.781
1.76,19.693
1.77,19.824
1.78,19.824
1.79,19.693
1.8,19.693
1.81,19.781
1.82,19.868
1.83,20.044
1.84,20.264
1.85,20.220
1.86,20.308
1.87,20.396
