Timestamp(ms),Current(uA),D0-D7
57.53,3.007,10000000
57.54,3.139,10000000
57.55,3.183,10000000
57.56,3.051,10000000
57.57,3.051,10000000
57.58,3.095,10000000
57.59,3.183,10000000
57.6,2.92,10000000
57.61,3.007,10000000
57.62,3.095,10000000
57.63,3.051,10000000
57.64,3.139,10000000
57.65,2.964,10000000
57.66,2.92,10000000
57.67,2.832,10000000
57.68,2.92,10000000
57.69,2.964,10000000
57.7,3.095,10000000
57.71,3.095,10000000
57.72,3.051,10000000
57.73,3.051,10000000
57.74,3.139,10000000
57.75,3.007,10000000
57.76,3.007,10000000
57.77,3.007,10000000
57.78,3.095,10000000
57.79,2.92,10000000
57.8,2.964,10000000
57.81,3.007,10000000
57.82,3.095,10000000
57.83,3.007,10000000
57.84,3.007,10000000
57.85,3.007,10000000
57.86,3.095,10000000
57.87,3.139,10000000
57.88,3.007,10000000
57.89,3.095,10000000
57.9,3.139,10000000
57.91,3.007,10000000
57.92,3.051,10000000
57.93,3.007,10000000
57.94,3.139,10000000
57.95,3.007,10000000
57.96,3.139,10000000
57.97,3.227,10000000
57.98,3.095,10000000
57.99,3.051,10000000
58,2.964,10000000
58.01,3.007,10000000
58.02,2.92,10000000
58.03,3.051,10000000
58.04,3.051,10000000
58.05,3.183,10000000
58.06,3.007,10000000
58.07,3.139,10000000
58.08,3.051,10000000
58.09,2.964,10000000
58.1,2.964,10000000
58.11,2.964,10000000
58.12,2.92,10000000
58.13,2.92,10000000
58.14,3.007,10000000
58.15,3.007,10000000
58.16,3.095,10000000
58.17,3.007,10000000
58.18,2.964,10000000
58.19,3.051,10000000
58.2,2.92,10000000
58.21,2.92,10000000
58.22,3.051,10000000
58.23,3.095,10000000
58.24,3.051,10000000
58.25,3.051,10000000
58.26,2.964,10000000
58.27,3.095,10000000
58.28,2.92,10000000
58.29,2.92,10000000
58.3,3.095,10000000
58.31,3.095,10000000
58.32,3.051,10000000
58.33,3.051,10000000
58.34,3.007,10000000
58.35,2.92,10000000
58.36,3.139,10000000
58.37,3.007,10000000
58.38,3.139,10000000
58.39,2.964,10000000
58.4,3.007,10000000
58.41,3.051,10000000
58.42,2.964,10000000
58.43,3.007,10000000
58.44,2.964,10000000
58.45,3.095,10000000
58.46,2.964,10000000
58.47,3.139,10000000
58.48,3.007,10000000
58.49,3.051,10000000
58.5,3.139,10000000
58.51,3.139,10000000
58.52,3.095,10000000
58.53,3.139,10000000
58.54,3.095,10000000
58.55,3.007,10000000
58.56,3.095,10000000
58.57,2.92,10000000
58.58,2.964,10000000
58.59,3.095,10000000
58.6,3.051,10000000
58.61,3.183,10000000
58.62,3.095,10000000
58.63,3.095,10000000
