Timestamp(ms),Current(uA)
1231800,18.916
1231900,18.863
1232000,18.891
1232100,18.899
1232200,18.920
1232300,18.918
1232400,18.894
1232500,18.899
1232600,18.884
1232700,18.907
1232800,18.908
1232900,18.916
1233000,18.893
1233100,18.905
1233200,18.899
1233300,18.873
1233400,18.888
1233500,18.878
1233600,18.892
1233700,18.933
1233800,18.920
1233900,18.913
1234000,18.891
1234100,18.879
1234200,18.881
1234300,18.884
1234400,18.891
1234500,18.892
1234600,18.906
1234700,18.879
1234800,18.874
1234900,18.903
1235000,18.887
1235100,18.885
1235200,18.879
1235300,18.885
1235400,18.886
1235500,18.890
1235600,18.885
1235700,18.857
1235800,18.862
1235900,18.897
1236000,18.863
1236100,18.871
1236200,18.866
1236300,18.842
1236400,18.868
1236500,18.863
1236600,18.870
1236700,18.870
1236800,18.885
