Timestamp(ms),Current(uA)
0,2.062
0.01,2.106
0.02,2.150
0.03,2.062
0.04,2.150
0.05,1.887
0.06,2.106
0.07,1.887
0.08,2.194
0.09,2.062
0.1,2.106
0.11,2.238
0.12,2.018
0.13,2.106
0.14,2.062
0.15,2.106
0.16,1.931
0.17,2.106
0.18,1.931
0.19,2.106
0.2,2.282
0.21,2.194
0.22,2.238
0.23,2.106
0.24,2.238
0.25,2.106
0.26,2.282
0.27,2.238
0.28,2.282
0.29,2.282
0.3,2.458
0.31,2.238
0.32,2.194
0.33,2.370
0.34,2.326
0.35,2.370
0.36,2.326
0.37,2.238
0.38,2.282
0.39,2.414
0.4,2.370
0.41,2.590
0.42,2.370
0.43,2.282
0.44,2.370
0.45,2.326
0.46,2.414
0.47,2.414
0.48,2.414
0.49,2.414
0.5,2.590
0.51,2.590
0.52,2.370
0.53,2.458
0.54,2.677
0.55,2.502
0.56,2.590
0.57,2.414
0.58,2.458
0.59,2.590
0.6,2.458
0.61,2.502
0.62,2.414
0.63,2.458
0.64,2.590
0.65,2.633
0.66,2.370
0.67,2.590
0.68,2.502
0.69,2.502
0.7,2.502
0.71,2.502
0.72,2.458
0.73,2.414
0.74,2.458
0.75,2.546
0.76,2.546
0.77,2.546
0.78,2.590
0.79,2.502
0.8,2.458
0.81,2.502
0.82,2.502
0.83,2.502
0.84,2.458
0.85,2.590
0.86,2.458
0.87,2.502
0.88,2.590
0.89,2.458
0.9,2.502
0.91,2.546
0.92,2.590
0.93,2.590
0.94,2.458
0.95,2.458
0.96,2.458
0.97,2.458
0.98,2.502
0.99,2.590
1,2.590
1.01,2.502
1.02,2.458
1.03,2.458
1.04,2.590
1.05,2.590
1.06,2.546
1.07,2.502
1.08,2.502
1.09,2.458
1.1,2.590
1.11,2.590
1.12,2.546
1.13,2.458
1.14,2.458
1.15,2.458
1.16,2.546
1.17,2.502
1.18,2.546
1.19,2.590
1.2,2.590
1.21,2.414
1.22,2.546
1.23,2.370
1.24,2.414
1.25,2.546
1.26,2.458
1.27,2.458
1.28,2.546
1.29,2.370
1.3,2.633
1.31,2.502
1.32,2.458
1.33,2.546
1.34,2.590
1.35,2.414
1.36,2.458
1.37,2.590
1.38,2.633
1.39,2.590
1.4,2.458
1.41,2.458
1.42,2.590
1.43,2.546
1.44,2.370
1.45,2.458
1.46,2.458
1.47,2.502
1.48,2.502
1.49,2.502
1.5,2.502
1.51,2.546
1.52,2.458
1.53,2.502
1.54,2.502
1.55,2.458
1.56,2.502
1.57,2.590
1.58,2.502
1.59,2.677
1.6,2.414
1.61,2.458
1.62,2.546
1.63,2.677
1.64,2.590
1.65,2.546
1.66,2.546
1.67,2.502
1.68,2.546
1.69,2.633
1.7,2.590
1.71,2.370
1.72,2.546
1.73,2.546
1.74,2.414
1.75,2.590
1.76,2.458
1.77,2.458
1.78,2.502
1.79,2.590
1.8,2.458
1.81,2.633
1.82,2.590
1.83,2.633
1.84,2.502
1.85,2.590
1.86,2.502
1.87,2.458
1.88,2.414
1.89,2.502
1.9,2.590
1.91,2.721
1.92,2.370
1.93,2.502
1.94,2.502
1.95,2.546
1.96,2.590
1.97,2.590
1.98,2.546
1.99,2.590
2,2.633
2.01,2.502
2.02,2.502
2.03,2.633
2.04,2.546
2.05,2.370
2.06,2.633
2.07,2.590
2.08,2.458
2.09,2.590
2.1,2.502
2.11,2.458
2.12,2.458
2.13,2.458
2.14,2.502
2.15,2.370
2.16,2.414
2.17,2.458
2.18,2.458
2.19,2.458
2.2,2.590
2.21,2.370
2.22,2.590
2.23,2.458
2.24,2.414
2.25,2.502
2.26,2.414
2.27,2.370
2.28,2.458
2.29,2.370
2.3,2.282
2.31,2.326
2.32,2.282
2.33,2.370
2.34,2.370
2.35,2.458
2.36,2.414
2.37,2.414
2.38,2.282
2.39,2.282
2.4,2.414
2.41,2.458
2.42,2.414
2.43,2.326
2.44,2.238
2.45,2.414
2.46,2.326
2.47,2.370
2.48,2.194
2.49,2.458
2.5,2.414
2.51,2.458
2.52,2.458
2.53,2.458
2.54,2.370
2.55,2.414
2.56,2.458
2.57,2.414
2.58,2.370
2.59,2.370
2.6,2.370
2.61,2.370
2.62,2.370
2.63,2.502
2.64,2.458
