Timestamp(ms),Current(uA)
0,2.062
0.01,2.238
0.02,2.062
0.03,2.062
0.04,2.062
0.05,2.018
0.06,2.018
0.07,2.062
0.08,2.238
0.09,2.238
0.1,2.018
0.11,2.106
0.12,2.106
0.13,2.106
0.14,2.238
0.15,2.238
0.16,2.238
0.17,2.194
0.18,2.238
0.19,2.150
0.2,2.238
0.21,2.238
0.22,2.194
0.23,2.194
0.24,2.370
0.25,2.458
0.26,2.414
0.27,2.458
0.28,2.370
0.29,2.590
0.3,2.546
0.31,2.546
0.32,2.590
0.33,2.546
0.34,2.546
0.35,2.590
0.36,2.853
0.37,2.721
0.38,2.765
0.39,2.897
0.4,2.765
0.41,2.941
0.42,2.941
0.43,2.897
0.44,2.721
0.45,2.809
0.46,2.721
0.47,2.721
0.48,2.897
0.49,2.897
0.5,2.941
0.51,3.073
0.52,2.897
0.53,2.941
0.54,2.941
0.55,3.029
0.56,2.897
0.57,3.117
0.58,2.941
0.59,2.985
0.6,2.985
0.61,3.073
0.62,3.117
0.63,2.985
0.64,3.029
0.65,3.029
0.66,3.073
0.67,2.985
0.68,2.853
0.69,3.073
0.7,3.117
0.71,2.985
0.72,3.073
0.73,3.073
0.74,3.205
0.75,3.073
0.76,3.029
0.77,3.073
0.78,3.205
0.79,2.985
0.8,2.941
0.81,3.029
0.82,3.073
0.83,3.117
0.84,3.248
0.85,2.897
0.86,3.117
0.87,2.985
0.88,3.073
0.89,3.073
0.9,2.985
0.91,3.117
0.92,2.897
0.93,3.073
0.94,3.161
0.95,3.117
0.96,3.161
0.97,3.073
0.98,3.161
0.99,3.161
1,3.205
1.01,3.161
1.02,2.985
1.03,3.029
1.04,3.117
1.05,3.161
1.06,3.073
1.07,3.117
1.08,3.161
1.09,2.897
1.1,3.029
1.11,3.073
1.12,2.897
1.13,3.117
1.14,2.941
1.15,3.029
1.16,3.073
1.17,3.161
1.18,3.161
1.19,3.029
1.2,3.205
1.21,3.073
1.22,3.117
1.23,3.117
1.24,3.248
1.25,3.073
1.26,3.029
1.27,3.161
1.28,3.073
1.29,3.117
1.3,3.117
1.31,3.205
1.32,3.117
1.33,3.073
1.34,3.117
1.35,3.029
1.36,3.073
1.37,3.161
1.38,3.205
1.39,3.205
1.4,3.073
1.41,3.117
1.42,3.161
1.43,3.029
1.44,3.073
1.45,3.117
1.46,3.117
1.47,3.073
1.48,3.073
1.49,3.029
1.5,3.073
1.51,3.117
1.52,2.985
1.53,3.029
1.54,3.073
1.55,3.073
1.56,3.117
1.57,3.073
1.58,3.117
1.59,3.161
1.6,3.117
1.61,3.117
1.62,3.117
1.63,2.985
1.64,2.721
1.65,3.073
1.66,3.117
1.67,3.205
1.68,3.117
1.69,2.941
1.7,3.029
1.71,3.117
1.72,3.073
1.73,3.161
1.74,3.073
1.75,2.985
1.76,3.029
1.77,3.029
1.78,3.161
1.79,3.117
1.8,2.809
1.81,3.029
1.82,2.941
1.83,2.809
1.84,2.853
1.85,2.853
1.86,2.941
1.87,2.897
1.88,2.853
1.89,2.721
1.9,2.941
1.91,2.546
1.92,2.765
1.93,2.765
1.94,2.590
1.95,2.633
1.96,2.633
1.97,2.633
1.98,2.677
1.99,2.590
2,2.546
2.01,2.546
2.02,2.546
2.03,2.546
2.04,2.458
2.05,2.458
2.06,2.458
2.07,2.502
2.08,2.590
2.09,2.458
2.1,2.370
2.11,2.414
2.12,2.458
2.13,2.414
2.14,2.414
2.15,2.502
2.16,2.326
2.17,2.414
2.18,2.458
2.19,2.370
2.2,2.282
2.21,2.326
2.22,2.326
2.23,2.238
2.24,2.238
2.25,2.414
2.26,2.326
2.27,2.282
2.28,2.414
2.29,2.326
2.3,2.238
2.31,2.282
2.32,2.326
2.33,2.414
2.34,2.370
2.35,2.414
2.36,2.414
2.37,2.326
2.38,2.546
2.39,2.458
2.4,2.414
2.41,2.458
2.42,2.414
2.43,2.502
2.44,2.546
2.45,2.590
2.46,2.502
2.47,2.590
2.48,2.546
2.49,2.633
2.5,2.765
2.51,2.677
2.52,2.721
2.53,2.633
2.54,2.721
2.55,2.809
2.56,2.765
2.57,2.721
2.58,2.809
2.59,2.897
2.6,2.897
2.61,2.941
2.62,3.029
2.63,2.985
2.64,2.897
2.65,3.029
2.66,2.985
2.67,3.117
2.68,3.029
2.69,3.117
2.7,2.897
2.71,3.029
2.72,3.117
2.73,2.985
2.74,3.029
2.75,3.117
2.76,3.073
2.77,2.985
2.78,3.161
2.79,2.985
2.8,3.117
2.81,3.073
2.82,3.117
2.83,3.073
2.84,3.029
2.85,3.029
2.86,3.117
2.87,3.117
2.88,3.029
2.89,3.073
2.9,3.073
2.91,3.117
2.92,3.073
2.93,3.117
2.94,3.117
2.95,3.073
2.96,3.073
2.97,3.161
2.98,3.073
2.99,3.161
3,3.117
3.01,3.205
3.02,2.985
3.03,3.073
3.04,3.161
3.05,3.117
3.06,3.161
3.07,3.117
3.08,3.117
3.09,3.073
3.1,3.117
3.11,3.117
3.12,2.985
3.13,3.029
3.14,3.161
3.15,3.073
3.16,3.161
3.17,3.073
3.18,3.161
3.19,3.117
3.2,3.117
3.21,3.073
3.22,3.073
3.23,3.073
3.24,3.029
3.25,2.985
3.26,2.985
3.27,3.161
3.28,3.117
3.29,3.073
3.3,3.117
3.31,3.073
3.32,3.073
3.33,3.117
3.34,2.985
3.35,3.161
3.36,3.073
3.37,3.073
3.38,3.073
3.39,3.117
3.4,3.073
3.41,3.205
3.42,2.985
3.43,3.073
3.44,3.117
3.45,3.117
3.46,3.029
3.47,3.161
3.48,3.073
3.49,3.117
3.5,3.029
3.51,2.985
3.52,3.117
3.53,3.029
3.54,3.205
3.55,3.029
3.56,3.073
3.57,3.205
3.58,2.853
3.59,3.117
3.6,3.161
3.61,3.029
3.62,2.897
3.63,2.985
3.64,3.161
3.65,3.117
3.66,3.029
3.67,3.073
3.68,3.073
3.69,3.073
3.7,3.073
3.71,3.073
3.72,2.941
3.73,2.985
3.74,3.073
3.75,3.117
3.76,3.117
3.77,2.941
3.78,3.117
3.79,3.073
3.8,3.117
3.81,3.161
3.82,3.073
3.83,3.029
3.84,3.073
3.85,3.073
3.86,3.073
3.87,3.117
3.88,2.897
3.89,3.161
3.9,3.117
3.91,2.941
3.92,3.029
3.93,3.117
3.94,3.029
3.95,2.985
3.96,3.161
3.97,2.985
3.98,3.292
3.99,2.985
4,3.029
4.01,3.073
