Timestamp(ms),Current(uA)
0,4.526
0.01,4.526
0.02,3.691
0.03,4.394
0.04,4.350
0.05,4.087
0.06,4.131
0.07,4.482
0.08,4.746
0.09,4.175
0.1,3.999
0.11,4.526
0.12,5.053
0.13,5.229
0.14,5.273
0.15,5.493
0.16,5.009
0.17,7.601
0.18,7.953
0.19,7.645
0.2,7.206
0.21,6.986
0.22,6.547
0.23,6.854
0.24,6.810
0.25,6.547
0.26,6.635
0.27,6.239
0.28,6.766
0.29,6.327
0.3,6.283
0.31,5.976
0.32,5.361
0.33,5.844
0.34,5.844
0.35,5.888
0.36,5.800
0.37,5.712
0.38,5.976
0.39,5.185
0.4,6.195
0.41,5.624
0.42,5.580
0.43,5.449
0.44,4.921
0.45,5.580
0.46,5.580
0.47,5.536
0.48,5.668
0.49,5.580
0.5,5.536
0.51,5.624
0.52,5.624
0.53,5.317
0.54,4.965
0.55,4.921
0.56,4.790
0.57,5.229
0.58,5.493
0.59,5.273
0.6,5.229
0.61,5.405
0.62,5.273
0.63,5.361
0.64,5.273
0.65,5.493
0.66,5.185
0.67,4.570
0.68,4.746
0.69,5.405
0.7,5.624
0.71,5.405
0.72,5.317
0.73,5.712
0.74,5.932
0.75,4.834
0.76,4.394
0.77,5.185
0.78,5.229
0.79,5.229
0.8,4.921
0.81,5.536
0.82,5.580
0.83,5.009
0.84,5.185
0.85,5.449
0.86,5.097
0.87,4.834
0.88,4.921
0.89,5.493
0.9,5.185
0.91,4.614
0.92,4.702
0.93,5.229
0.94,5.493
0.95,4.746
0.96,4.790
0.97,5.361
0.98,5.009
0.99,4.746
1,4.658
1.01,4.570
1.02,4.702
1.03,4.965
1.04,5.053
1.05,4.965
1.06,5.053
1.07,4.394
1.08,4.263
1.09,4.658
1.1,4.175
1.11,4.175
1.12,3.648
1.13,3.823
1.14,4.263
1.15,4.570
1.16,3.911
1.17,4.175
1.18,4.921
1.19,5.097
1.2,4.658
1.21,4.658
1.22,4.526
1.23,5.141
1.24,4.878
1.25,5.229
1.26,4.834
1.27,5.229
1.28,5.361
1.29,5.493
1.3,5.097
1.31,5.580
1.32,5.229
1.33,5.273
1.34,4.878
1.35,4.790
1.36,4.834
1.37,5.317
1.38,5.361
1.39,4.658
1.4,5.185
1.41,5.317
1.42,5.449
1.43,4.790
1.44,4.658
1.45,4.702
1.46,4.263
1.47,4.219
1.48,4.834
1.49,4.350
1.5,4.394
1.51,4.658
1.52,4.702
1.53,5.009
1.54,4.263
1.55,4.087
1.56,4.263
1.57,3.955
1.58,3.779
1.59,4.175
1.6,4.350
1.61,4.394
1.62,3.955
1.63,3.867
1.64,4.438
1.65,4.878
1.66,4.131
1.67,3.955
1.68,3.648
1.69,4.175
1.7,4.350
1.71,3.823
1.72,4.175
1.73,3.691
1.74,4.746
1.75,3.604
1.76,4.438
1.77,4.131
1.78,4.043
1.79,4.043
1.8,3.516
1.81,4.219
1.82,4.219
1.83,4.482
1.84,3.999
1.85,3.999
1.86,4.087
1.87,4.702
1.88,4.394
1.89,4.131
1.9,4.306
1.91,4.438
1.92,4.658
1.93,4.306
1.94,4.878
1.95,4.746
1.96,4.570
1.97,4.570
1.98,4.306
1.99,4.306
2,5.053
2.01,4.790
2.02,5.141
2.03,7.513
2.04,7.689
2.05,6.854
2.06,7.250
2.07,6.591
2.08,6.679
2.09,5.976
2.1,5.712
2.11,5.580
2.12,6.283
2.13,5.888
2.14,5.317
2.15,5.624
2.16,5.712
2.17,6.108
2.18,5.449
2.19,4.878
2.2,4.834
2.21,4.570
2.22,4.175
2.23,4.921
2.24,4.746
2.25,4.878
2.26,4.526
2.27,4.306
2.28,4.306
2.29,4.526
2.3,4.131
2.31,4.526
2.32,4.526
2.33,4.263
2.34,3.516
2.35,4.878
2.36,4.482
2.37,4.921
2.38,4.482
2.39,4.394
2.4,5.317
2.41,4.834
2.42,4.965
2.43,4.658
2.44,4.394
2.45,4.921
2.46,4.921
2.47,5.273
2.48,5.229
2.49,5.009
2.5,5.229
2.51,5.536
2.52,5.712
2.53,4.570
2.54,4.658
2.55,4.394
2.56,5.185
2.57,5.053
2.58,4.834
2.59,5.361
2.6,5.229
2.61,4.921
2.62,5.273
2.63,4.834
2.64,5.273
2.65,4.219
2.66,4.834
2.67,3.823
2.68,4.965
2.69,4.570
2.7,4.350
2.71,4.131
2.72,4.746
2.73,4.482
2.74,4.306
2.75,4.219
2.76,4.263
2.77,4.306
2.78,3.604
2.79,3.955
2.8,4.263
2.81,3.999
2.82,4.306
2.83,4.878
2.84,4.263
2.85,4.219
2.86,4.746
2.87,5.273
2.88,4.263
2.89,4.306
2.9,4.570
2.91,5.053
2.92,5.009
2.93,5.493
2.94,5.449
2.95,5.185
2.96,5.624
2.97,5.756
2.98,5.449
2.99,4.921
3,5.097
3.01,4.878
3.02,4.658
3.03,5.580
3.04,4.614
3.05,5.185
3.06,4.263
3.07,4.702
3.08,4.702
3.09,3.779
3.1,4.350
3.11,3.867
3.12,3.604
3.13,4.306
3.14,4.921
3.15,4.878
3.16,5.009
3.17,5.317
3.18,5.185
3.19,5.580
3.2,5.668
3.21,5.097
3.22,5.097
3.23,4.746
3.24,5.009
3.25,5.141
3.26,4.087
3.27,4.658
3.28,4.131
3.29,4.175
3.3,4.219
3.31,4.175
3.32,4.438
3.33,4.790
3.34,4.921
3.35,5.229
3.36,4.790
3.37,5.449
3.38,5.141
3.39,5.493
3.4,5.009
3.41,5.317
3.42,4.570
3.43,4.614
3.44,4.175
3.45,3.648
3.46,4.306
3.47,4.087
3.48,4.175
3.49,4.658
3.5,5.053
3.51,4.834
3.52,5.317
3.53,4.790
3.54,4.878
3.55,4.878
3.56,5.141
3.57,5.273
3.58,5.185
3.59,5.624
3.6,5.405
3.61,4.878
3.62,5.141
3.63,4.790
3.64,4.834
3.65,4.482
3.66,4.658
3.67,4.614
3.68,4.350
3.69,4.746
3.7,4.878
3.71,5.009
3.72,5.053
3.73,5.405
3.74,5.405
3.75,5.053
3.76,4.921
3.77,5.317
3.78,5.009
3.79,4.746
3.8,5.141
3.81,5.273
3.82,4.746
3.83,3.955
3.84,3.911
3.85,4.131
3.86,4.702
3.87,3.560
3.88,5.932
3.89,6.942
3.9,6.591
3.91,6.327
3.92,5.932
3.93,6.327
3.94,6.064
3.95,5.405
3.96,5.229
3.97,5.536
3.98,5.536
3.99,6.151
4,6.239
4.01,5.844
4.02,6.064
4.03,6.020
4.04,6.108
4.05,5.668
4.06,5.624
4.07,5.624
4.08,5.580
4.09,5.229
4.1,4.394
4.11,4.131
4.12,5.009
4.13,4.790
4.14,4.658
4.15,4.394
4.16,5.361
4.17,5.273
4.18,5.053
4.19,5.273
4.2,5.580
4.21,5.361
4.22,4.306
4.23,4.131
4.24,4.482
4.25,4.614
4.26,5.141
4.27,4.175
4.28,5.405
4.29,5.009
4.3,5.624
4.31,5.361
4.32,4.921
4.33,5.449
4.34,5.053
4.35,5.053
4.36,4.834
4.37,4.790
4.38,4.746
4.39,4.965
4.4,5.449
4.41,5.229
4.42,4.394
4.43,3.955
4.44,4.175
4.45,5.053
4.46,4.921
4.47,5.361
4.48,4.306
4.49,4.878
4.5,5.229
4.51,5.361
4.52,5.361
4.53,4.702
4.54,4.175
4.55,4.878
4.56,4.921
4.57,4.921
4.58,5.053
4.59,5.405
4.6,5.053
4.61,4.438
4.62,4.263
4.63,4.175
4.64,4.878
4.65,4.702
4.66,5.097
4.67,5.405
4.68,4.394
4.69,4.570
4.7,4.921
4.71,5.229
4.72,4.658
4.73,3.955
4.74,4.921
4.75,5.053
4.76,5.185
4.77,4.702
4.78,4.394
4.79,3.999
4.8,4.878
4.81,5.053
4.82,4.482
4.83,4.921
4.84,4.175
4.85,5.009
4.86,4.878
4.87,3.955
4.88,4.658
4.89,4.702
4.9,4.746
4.91,4.658
4.92,5.273
4.93,4.878
4.94,4.834
4.95,4.526
4.96,4.350
4.97,4.570
4.98,3.604
4.99,4.921
5,4.702
5.01,4.921
5.02,5.053
5.03,5.141
5.04,4.219
5.05,4.746
5.06,4.921
5.07,4.702
5.08,4.658
5.09,4.219
5.1,4.526
5.11,5.009
5.12,5.229
5.13,3.735
5.14,5.273
5.15,4.790
5.16,5.668
5.17,5.053
5.18,3.999
5.19,4.526
5.2,4.702
5.21,4.878
5.22,4.746
5.23,5.624
5.24,4.746
5.25,4.263
5.26,4.219
5.27,4.702
5.28,4.878
5.29,4.921
5.3,5.317
5.31,4.350
5.32,3.735
5.33,3.823
5.34,4.746
5.35,4.834
5.36,5.405
5.37,5.317
5.38,5.580
5.39,4.394
5.4,4.175
5.41,5.229
5.42,4.746
5.43,4.526
5.44,4.263
5.45,4.878
5.46,5.229
5.47,4.834
5.48,4.350
5.49,3.999
5.5,5.185
5.51,5.624
5.52,5.229
5.53,4.394
5.54,3.823
5.55,4.394
5.56,5.185
5.57,5.273
5.58,5.185
5.59,4.570
5.6,4.131
5.61,5.185
5.62,5.624
5.63,4.702
5.64,4.131
5.65,3.955
5.66,4.175
5.67,5.580
5.68,5.317
5.69,4.658
5.7,4.394
5.71,4.790
5.72,4.878
5.73,6.283
5.74,7.557
5.75,6.591
5.76,6.327
5.77,6.151
5.78,7.030
5.79,6.327
5.8,6.239
5.81,5.361
5.82,6.239
5.83,5.932
5.84,6.635
5.85,5.536
5.86,5.888
5.87,5.141
5.88,5.273
5.89,5.624
5.9,5.053
