Timestamp(ms),Current(uA)
0,19.956
0.01,20.000
0.02,19.956
0.03,20.000
0.04,20.000
0.05,19.912
0.06,20.088
0.07,20.088
0.08,20.088
0.09,20.088
0.1,20.176
0.11,20.088
0.12,19.868
0.13,20.044
0.14,20.044
0.15,20.000
0.16,20.088
0.17,20.000
0.18,19.956
0.19,19.956
0.2,20.132
0.21,20.176
0.22,20.176
0.23,20.220
0.24,20.220
0.25,20.132
0.26,20.044
0.27,20.132
0.28,20.044
0.29,20.044
0.3,20.044
0.31,19.868
0.32,20.000
0.33,20.000
0.34,20.000
0.35,19.781
0.36,19.912
0.37,20.000
0.38,19.956
0.39,19.912
0.4,19.956
0.41,19.868
0.42,19.868
0.43,19.868
0.44,19.693
0.45,19.912
0.46,19.649
0.47,19.649
0.48,19.605
0.49,19.649
0.5,19.649
0.51,19.649
0.52,19.561
0.53,19.561
0.54,19.517
0.55,19.517
0.56,19.517
0.57,19.517
0.58,19.517
0.59,19.429
0.6,19.429
0.61,19.341
0.62,19.166
0.63,19.209
0.64,19.209
0.65,19.385
0.66,19.385
0.67,19.517
0.68,19.517
0.69,19.649
0.7,19.561
0.71,19.605
0.72,19.693
0.73,19.824
0.74,19.693
0.75,19.868
0.76,19.912
0.77,19.781
0.78,19.912
0.79,19.824
0.8,19.868
0.81,19.824
0.82,19.737
0.83,19.737
0.84,19.693
0.85,19.737
0.86,19.737
0.87,19.781
0.88,20.000
0.89,19.781
0.9,20.000
0.91,19.868
0.92,20.000
0.93,20.132
0.94,20.220
0.95,20.088
0.96,19.956
0.97,20.000
0.98,20.220
0.99,20.088
1,20.088
1.01,20.220
1.02,20.220
1.03,20.176
1.04,20.352
1.05,20.396
1.06,20.308
1.07,20.176
1.08,20.308
1.09,20.220
1.1,20.132
1.11,20.264
1.12,20.308
1.13,20.132
1.14,20.308
1.15,20.396
1.16,20.483
1.17,20.352
1.18,20.527
1.19,20.483
1.2,20.308
1.21,20.352
1.22,20.439
1.23,20.527
1.24,20.703
1.25,20.659
1.26,20.527
1.27,20.527
1.28,20.527
1.29,20.703
1.3,20.615
1.31,20.835
1.32,20.967
1.33,20.967
1.34,21.055
1.35,20.879
1.36,20.967
1.37,21.011
1.38,21.055
1.39,21.098
1.4,21.098
1.41,21.142
1.42,21.142
1.43,21.186
1.44,21.274
1.45,21.230
1.46,21.230
1.47,21.186
1.48,21.142
1.49,21.318
1.5,21.274
1.51,21.230
1.52,21.230
1.53,21.142
1.54,21.098
1.55,21.142
1.56,21.186
1.57,21.011
1.58,21.011
1.59,20.923
1.6,21.055
1.61,21.142
1.62,21.011
1.63,21.186
1.64,21.098
1.65,21.142
1.66,20.967
1.67,21.098
1.68,21.186
1.69,21.362
1.7,21.318
1.71,21.318
1.72,21.274
1.73,21.230
1.74,20.923
1.75,21.055
1.76,21.011
1.77,21.055
1.78,21.098
1.79,21.186
1.8,21.186
1.81,21.098
1.82,21.098
1.83,21.098
1.84,21.186
1.85,21.098
1.86,21.098
1.87,21.055
1.88,21.011
1.89,20.967
1.9,20.835
1.91,20.879
1.92,20.703
1.93,20.835
1.94,20.791
1.95,20.615
1.96,20.747
1.97,20.879
1.98,20.835
1.99,20.879
2,21.011
2.01,20.923
2.02,20.923
2.03,20.791
2.04,20.747
2.05,20.703
2.06,20.659
2.07,20.659
2.08,20.703
2.09,20.527
2.1,20.396
2.11,20.483
2.12,20.483
2.13,20.483
2.14,20.483
2.15,20.571
2.16,20.308
2.17,20.308
2.18,20.308
2.19,20.483
2.2,20.483
2.21,20.483
2.22,20.615
2.23,20.396
2.24,20.615
2.25,20.703
2.26,20.483
2.27,20.791
2.28,20.615
2.29,20.703
2.3,20.879
2.31,20.879
2.32,20.835
2.33,20.703
2.34,20.703
2.35,20.703
2.36,20.659
2.37,20.615
2.38,20.571
2.39,20.527
2.4,20.615
2.41,20.703
2.42,20.703
2.43,20.703
2.44,20.483
2.45,20.308
2.46,20.439
2.47,20.396
2.48,20.220
2.49,20.352
2.5,20.439
2.51,20.352
2.52,20.132
2.53,20.044
2.54,20.044
2.55,20.044
2.56,20.044
2.57,19.956
2.58,19.956
2.59,20.000
2.6,20.044
2.61,20.088
2.62,20.000
2.63,20.000
2.64,20.044
2.65,20.176
2.66,20.000
2.67,20.044
2.68,20.176
2.69,20.264
2.7,20.176
2.71,20.176
2.72,20.132
2.73,20.396
2.74,20.220
2.75,20.264
2.76,20.264
2.77,20.176
2.78,20.308
2.79,20.352
2.8,20.264
2.81,20.439
2.82,20.264
2.83,20.396
2.84,20.396
2.85,20.439
2.86,20.396
2.87,20.264
2.88,20.308
2.89,20.308
2.9,20.352
2.91,20.308
2.92,20.264
2.93,20.264
2.94,20.176
2.95,20.044
2.96,20.088
2.97,20.000
2.98,20.000
2.99,19.956
3,19.824
3.01,19.781
3.02,19.737
3.03,19.912
3.04,19.956
3.05,20.176
3.06,19.956
3.07,20.176
3.08,20.176
3.09,20.044
3.1,19.956
3.11,20.088
3.12,20.044
3.13,20.264
3.14,20.220
3.15,20.264
3.16,20.264
3.17,20.220
3.18,20.352
3.19,20.352
3.2,20.308
3.21,20.220
3.22,20.264
3.23,20.176
3.24,20.088
3.25,20.132
3.26,20.132
3.27,19.956
3.28,20.000
3.29,20.000
3.3,20.000
3.31,20.264
3.32,20.132
3.33,20.176
3.34,20.044
3.35,20.176
3.36,19.956
3.37,19.824
3.38,20.000
3.39,20.000
3.4,19.737
3.41,19.956
3.42,19.956
3.43,20.220
3.44,20.176
3.45,20.264
3.46,20.132
3.47,20.220
3.48,20.176
3.49,20.396
3.5,20.352
3.51,20.396
3.52,20.308
3.53,20.308
3.54,20.264
3.55,20.352
3.56,20.308
3.57,20.220
3.58,20.264
3.59,20.132
3.6,20.308
3.61,20.308
3.62,20.527
3.63,20.571
3.64,20.439
3.65,20.527
3.66,20.439
3.67,20.396
3.68,20.308
3.69,20.220
3.7,20.308
3.71,20.220
3.72,20.220
3.73,20.176
3.74,20.044
3.75,20.264
3.76,20.176
3.77,20.044
3.78,20.132
3.79,20.132
3.8,19.956
3.81,20.088
3.82,20.220
3.83,20.264
3.84,20.308
3.85,20.352
3.86,20.352
3.87,20.308
3.88,20.396
3.89,20.483
3.9,20.527
3.91,20.527
3.92,20.264
3.93,20.352
3.94,20.220
3.95,20.308
3.96,20.264
3.97,20.439
3.98,20.396
3.99,20.308
4,20.483
4.01,20.396
4.02,20.483
4.03,20.439
4.04,20.527
4.05,20.527
4.06,20.615
4.07,20.396
4.08,20.703
4.09,20.527
4.1,20.571
4.11,20.571
4.12,20.571
4.13,20.703
4.14,20.659
4.15,20.615
4.16,20.703
4.17,20.703
4.18,20.835
4.19,20.879
4.2,20.879
4.21,20.659
4.22,20.615
4.23,20.615
4.24,20.703
4.25,20.791
4.26,20.879
4.27,20.659
4.28,20.835
4.29,20.527
4.3,20.659
4.31,20.571
4.32,20.571
4.33,20.615
4.34,20.703
4.35,20.615
4.36,20.527
4.37,20.439
4.38,20.527
4.39,20.396
4.4,20.352
4.41,20.439
4.42,20.396
4.43,20.571
4.44,20.571
4.45,20.527
4.46,20.615
4.47,20.703
4.48,20.615
4.49,20.615
4.5,20.571
4.51,20.703
4.52,20.571
4.53,20.527
4.54,20.571
4.55,20.483
4.56,20.703
4.57,20.615
4.58,20.527
4.59,20.483
4.6,20.396
4.61,20.396
4.62,20.527
4.63,20.483
4.64,20.527
4.65,20.483
4.66,20.615
4.67,20.659
4.68,20.571
4.69,20.615
4.7,20.615
4.71,20.615
4.72,20.835
4.73,20.659
4.74,20.747
4.75,20.923
4.76,20.923
4.77,20.923
4.78,20.835
4.79,20.747
4.8,20.747
4.81,20.923
4.82,20.747
4.83,20.879
4.84,20.835
4.85,20.835
4.86,20.791
4.87,20.659
4.88,20.659
4.89,20.747
4.9,20.879
4.91,20.835
4.92,20.747
4.93,20.703
4.94,20.879
4.95,20.835
4.96,20.879
4.97,20.967
4.98,21.055
4.99,21.098
5,21.098
5.01,21.142
5.02,21.011
5.03,20.923
5.04,20.967
5.05,20.879
5.06,20.747
5.07,20.615
5.08,20.483
5.09,20.527
5.1,20.439
5.11,20.527
5.12,20.308
5.13,20.396
5.14,20.527
5.15,20.396
5.16,20.396
5.17,20.439
5.18,20.352
5.19,20.527
5.2,20.352
5.21,20.220
5.22,20.220
5.23,20.439
5.24,20.571
5.25,20.571
5.26,20.483
5.27,20.483
5.28,20.396
5.29,20.571
5.3,20.439
5.31,20.396
5.32,20.483
5.33,20.483
5.34,20.659
5.35,20.571
5.36,20.483
5.37,20.571
5.38,20.703
5.39,20.308
5.4,20.396
5.41,20.308
5.42,20.439
5.43,20.527
5.44,20.439
5.45,20.527
5.46,20.483
5.47,20.483
5.48,20.527
5.49,20.571
5.5,20.439
5.51,20.352
5.52,20.264
5.53,20.264
5.54,20.220
5.55,20.220
5.56,20.132
5.57,20.088
5.58,20.088
5.59,20.396
5.6,20.439
5.61,20.439
5.62,20.439
5.63,20.396
5.64,20.308
5.65,20.308
5.66,20.264
5.67,20.308
5.68,20.352
5.69,20.264
5.7,20.308
5.71,20.220
5.72,20.352
5.73,20.352
5.74,20.264
5.75,20.132
5.76,20.220
5.77,20.132
5.78,20.176
5.79,20.000
5.8,20.000
5.81,19.956
5.82,20.044
5.83,20.176
5.84,20.220
5.85,20.220
5.86,20.132
5.87,20.132
5.88,20.132
5.89,20.088
5.9,19.781
5.91,20.132
5.92,19.956
5.93,19.868
5.94,19.781
5.95,19.824
5.96,19.824
5.97,19.912
5.98,19.912
5.99,19.956
6,20.088
6.01,19.956
6.02,20.000
6.03,20.044
6.04,20.088
6.05,20.264
6.06,20.308
6.07,20.176
6.08,20.220
6.09,20.044
6.1,20.132
6.11,20.132
6.12,19.824
6.13,19.868
6.14,19.868
6.15,19.868
6.16,19.956
6.17,19.912
6.18,19.912
6.19,19.781
6.2,19.781
6.21,19.912
6.22,20.044
6.23,19.956
6.24,20.088
6.25,20.220
6.26,20.000
6.27,20.000
6.28,19.956
6.29,20.000
6.3,20.088
6.31,20.044
6.32,20.044
6.33,20.264
6.34,20.220
6.35,20.132
6.36,20.044
6.37,20.176
6.38,20.132
6.39,20.176
6.4,20.088
6.41,20.088
6.42,20.088
6.43,20.132
6.44,20.308
6.45,20.439
6.46,20.439
6.47,20.308
6.48,20.264
6.49,20.352
6.5,20.352
6.51,20.220
6.52,20.132
6.53,20.264
6.54,20.615
6.55,20.747
6.56,20.747
6.57,20.747
6.58,20.659
6.59,20.659
6.6,20.703
6.61,20.747
6.62,20.879
6.63,20.835
6.64,20.835
6.65,20.747
6.66,20.659
6.67,20.747
6.68,20.703
