Timestamp(ms),Current(uA)
16.05,3.951
16.06,3.863
16.07,4.127
16.08,4.039
16.09,4.259
16.1,4.083
16.11,4.127
16.12,4.083
16.13,4.127
16.14,4.039
16.15,4.039
16.16,3.951
16.17,3.995
16.18,4.039
16.19,3.863
16.2,3.776
16.21,3.951
16.22,3.907
16.23,3.863
16.24,3.732
16.25,3.907
16.26,3.732
16.27,3.863
16.28,3.820
16.29,3.776
16.3,3.776
16.31,3.732
16.32,4.039
16.33,3.863
16.34,3.863
16.35,3.776
16.36,3.863
16.37,3.863
16.38,3.820
16.39,3.863
16.4,3.776
16.41,3.907
16.42,3.907
16.43,3.995
16.44,3.863
16.45,3.951
16.46,3.907
16.47,3.951
16.48,3.951
16.49,4.083
16.5,4.083
16.51,4.083
16.52,4.083
16.53,3.995
16.54,3.907
16.55,4.039
16.56,4.039
16.57,3.863
16.58,4.039
16.59,3.995
16.6,4.039
16.61,4.127
16.62,4.303
16.63,4.171
16.64,4.083
16.65,4.127
16.66,4.083
16.67,4.303
16.68,4.259
16.69,4.215
16.7,3.995
16.71,4.039
16.72,4.083
16.73,4.039
16.74,4.127
16.75,3.820
16.76,3.863
16.77,3.863
16.78,4.127
16.79,4.171
16.8,4.127
16.81,4.083
16.82,4.215
16.83,4.083
16.84,4.215
16.85,4.127
16.86,3.907
16.87,4.083
16.88,3.776
16.89,3.907
16.9,3.863
16.91,3.951
16.92,3.863
16.93,3.820
16.94,3.863
16.95,3.776
16.96,3.863
16.97,4.039
16.98,4.039
16.99,4.039
17,3.863
17.01,4.039
17.02,3.951
17.03,4.039
17.04,3.995
17.05,4.083
17.06,4.171
17.07,4.039
17.08,4.039
17.09,4.039
17.1,4.083
17.11,3.863
17.12,4.083
17.13,3.951
17.14,3.907
17.15,3.907
17.16,3.863
17.17,3.995
17.18,3.995
17.19,3.863
17.2,3.995
17.21,3.732
17.22,3.995
17.23,3.995
17.24,3.820
17.25,3.863
17.26,3.907
17.27,3.907
17.28,3.863
17.29,4.039
17.3,3.820
17.31,3.732
17.32,3.776
17.33,3.863
17.34,3.688
17.35,3.863
17.36,3.995
17.37,3.863
17.38,3.776
17.39,3.863
17.4,3.951
17.41,3.863
17.42,3.732
17.43,3.820
17.44,3.951
17.45,3.995
17.46,3.951
17.47,3.951
17.48,3.995
17.49,4.083
17.5,4.083
17.51,4.171
17.52,4.039
17.53,3.995
17.54,3.907
17.55,3.863
17.56,3.863
17.57,3.863
17.58,3.907
17.59,3.776
17.6,3.863
17.61,3.820
17.62,3.820
17.63,3.907
17.64,3.820
17.65,3.776
17.66,3.820
17.67,4.083
17.68,3.995
17.69,3.863
17.7,3.776
17.71,3.820
17.72,3.820
17.73,3.600
17.74,3.863
17.75,3.820
17.76,3.776
17.77,3.820
17.78,3.600
17.79,3.776
17.8,3.688
17.81,3.600
17.82,3.688
17.83,3.600
17.84,3.556
17.85,3.600
17.86,3.600
17.87,3.688
17.88,3.688
17.89,3.600
17.9,3.556
17.91,3.688
17.92,3.644
17.93,3.600
17.94,3.688
17.95,3.600
17.96,3.863
17.97,3.863
17.98,3.820
17.99,3.688
18,3.732
18.01,3.776
18.02,3.820
18.03,3.863
18.04,3.863
18.05,4.039
18.06,3.951
18.07,3.907
18.08,3.863
18.09,3.863
18.1,3.732
18.11,3.820
18.12,3.951
18.13,3.907
18.14,3.951
18.15,3.907
18.16,3.995
