Timestamp(ms),Current(uA)
12.13,11.902
12.14,11.902
12.15,12.034
12.16,11.990
12.17,12.078
12.18,11.946
12.19,11.946
12.2,11.902
12.21,11.902
12.22,11.771
12.23,11.946
12.24,11.946
12.25,11.859
12.26,12.034
12.27,11.859
12.28,12.078
12.29,12.166
12.3,12.078
12.31,12.034
12.32,12.210
12.33,12.210
12.34,12.166
12.35,12.166
12.36,12.210
12.37,12.254
12.38,12.122
12.39,12.166
12.4,12.166
12.41,12.254
12.42,12.166
12.43,12.210
12.44,12.122
12.45,12.122
12.46,11.990
12.47,11.902
12.48,12.078
12.49,12.122
12.5,12.078
12.51,12.034
12.52,11.859
12.53,11.902
12.54,11.946
12.55,11.990
12.56,11.990
12.57,11.990
12.58,11.902
12.59,11.946
12.6,11.815
12.61,11.990
12.62,12.078
12.63,11.990
12.64,12.078
12.65,12.034
12.66,12.254
12.67,12.298
12.68,12.254
12.69,12.122
12.7,12.254
12.71,12.210
12.72,12.254
12.73,12.122
12.74,12.078
12.75,12.034
12.76,12.034
12.77,12.034
12.78,12.034
12.79,11.990
12.8,11.990
12.81,11.902
12.82,11.946
12.83,12.034
12.84,11.946
12.85,12.166
12.86,12.166
12.87,11.990
12.88,12.166
12.89,12.298
12.9,12.166
12.91,12.298
12.92,12.254
12.93,12.254
12.94,12.386
12.95,12.122
12.96,12.254
12.97,12.210
12.98,12.342
12.99,12.430
13,12.342
13.01,12.474
13.02,12.342
13.03,12.342
13.04,12.210
13.05,12.342
13.06,12.210
13.07,12.386
13.08,12.210
13.09,12.034
13.1,12.166
13.11,12.342
13.12,12.254
13.13,12.386
13.14,12.430
13.15,12.386
13.16,12.430
13.17,12.342
13.18,12.298
13.19,12.342
13.2,12.342
13.21,12.078
13.22,12.254
13.23,12.210
13.24,12.298
13.25,12.342
13.26,12.342
13.27,12.342
13.28,12.298
13.29,12.298
13.3,12.342
13.31,12.342
13.32,12.298
13.33,12.122
13.34,12.210
13.35,12.166
13.36,12.034
13.37,12.122
13.38,12.166
13.39,12.078
13.4,12.166
13.41,12.034
13.42,12.166
13.43,12.166
13.44,12.034
13.45,12.034
13.46,12.122
13.47,12.254
13.48,12.254
13.49,12.122
13.5,12.122
13.51,12.034
13.52,12.034
13.53,12.122
13.54,12.034
13.55,12.210
13.56,12.210
13.57,12.166
13.58,12.122
13.59,12.122
13.6,11.990
13.61,12.254
13.62,12.078
13.63,12.342
13.64,12.430
13.65,12.254
13.66,11.946
13.67,12.122
13.68,12.078
13.69,12.078
13.7,12.078
13.71,12.078
13.72,11.902
13.73,12.078
13.74,11.859
13.75,11.771
13.76,11.859
13.77,11.507
13.78,11.595
13.79,11.771
13.8,11.902
13.81,11.683
13.82,11.902
13.83,11.990
13.84,11.902
13.85,11.859
13.86,11.859
13.87,11.683
13.88,11.815
13.89,11.859
13.9,11.639
13.91,11.902
13.92,11.815
13.93,12.078
13.94,11.771
13.95,11.815
13.96,11.859
13.97,11.815
13.98,12.078
13.99,12.122
14,11.902
14.01,11.902
14.02,11.902
14.03,11.990
14.04,11.946
14.05,11.946
14.06,12.034
14.07,11.859
14.08,12.254
14.09,12.166
14.1,12.034
14.11,11.990
14.12,11.990
14.13,11.859
14.14,12.078
14.15,11.990
14.16,11.902
14.17,11.859
14.18,11.902
14.19,12.078
14.2,11.946
14.21,11.990
14.22,11.859
14.23,11.946
14.24,12.166
14.25,12.034
14.26,12.122
14.27,11.990
14.28,11.990
14.29,11.990
14.3,11.990
14.31,11.859
14.32,11.859
14.33,11.771
14.34,11.859
14.35,11.902
14.36,11.683
14.37,11.815
14.38,11.990
14.39,11.946
14.4,12.034
14.41,12.166
14.42,12.078
14.43,12.034
14.44,12.122
14.45,11.859
14.46,11.990
14.47,11.946
14.48,11.946
14.49,11.990
14.5,12.034
14.51,11.990
14.52,11.990
14.53,12.078
14.54,11.990
14.55,12.034
14.56,12.078
14.57,12.166
14.58,12.034
14.59,11.946
14.6,12.034
14.61,12.078
14.62,12.034
14.63,11.946
14.64,11.815
14.65,11.990
14.66,11.902
14.67,11.990
14.68,11.902
14.69,11.683
14.7,11.727
14.71,11.683
14.72,11.727
14.73,11.727
14.74,11.727
14.75,11.595
14.76,11.771
14.77,11.727
14.78,11.595
14.79,11.595
14.8,11.639
14.81,11.771
14.82,11.639
14.83,11.727
14.84,11.771
14.85,11.859
14.86,11.902
14.87,11.902
14.88,11.902
14.89,11.990
14.9,11.771
14.91,11.946
14.92,11.815
14.93,11.815
14.94,11.815
14.95,11.771
14.96,11.595
14.97,11.551
14.98,11.727
14.99,11.639
15,11.639
15.01,11.683
15.02,11.771
15.03,11.727
15.04,11.771
15.05,11.727
15.06,11.771
15.07,11.902
15.08,11.902
15.09,11.859
15.1,11.727
15.11,11.639
15.12,11.683
15.13,11.771
15.14,11.771
15.15,11.727
15.16,11.771
15.17,11.771
15.18,11.815
15.19,11.902
15.2,11.683
15.21,11.683
15.22,11.771
15.23,11.771
15.24,11.815
15.25,11.639
15.26,11.639
15.27,11.463
15.28,11.683
15.29,11.595
15.3,11.683
15.31,11.419
15.32,11.595
15.33,11.419
15.34,11.419
15.35,11.287
15.36,11.244
15.37,11.375
15.38,11.244
15.39,11.375
15.4,11.331
15.41,11.375
15.42,11.287
15.43,11.551
15.44,11.507
15.45,11.244
15.46,11.331
15.47,11.419
15.48,11.419
15.49,11.375
15.5,11.639
15.51,11.551
15.52,11.551
15.53,11.375
15.54,11.463
15.55,11.331
15.56,11.419
15.57,11.463
15.58,11.463
15.59,11.463
15.6,11.375
15.61,11.551
15.62,11.419
15.63,11.463
15.64,11.375
15.65,11.375
15.66,11.331
15.67,11.331
15.68,11.507
15.69,11.419
15.7,11.595
15.71,11.507
15.72,11.551
15.73,11.727
15.74,11.639
15.75,11.639
15.76,11.595
15.77,11.639
15.78,11.727
15.79,11.683
15.8,11.551
15.81,11.683
15.82,11.507
15.83,11.639
15.84,11.463
15.85,11.287
15.86,11.463
15.87,11.331
15.88,11.419
15.89,11.244
15.9,11.331
15.91,11.156
15.92,11.244
15.93,11.287
15.94,11.244
15.95,11.287
15.96,11.375
15.97,11.419
15.98,11.331
15.99,11.375
16,11.331
16.01,11.287
16.02,11.463
16.03,11.331
16.04,11.331
16.05,11.331
16.06,11.200
16.07,11.331
16.08,11.375
16.09,11.507
16.1,11.287
16.11,11.419
16.12,11.244
16.13,11.200
16.14,11.331
16.15,11.156
16.16,11.112
16.17,11.068
16.18,11.200
16.19,11.156
16.2,11.331
16.21,11.331
16.22,11.331
16.23,11.331
16.24,11.244
16.25,11.287
16.26,11.112
16.27,11.156
16.28,11.287
16.29,11.200
16.3,11.200
16.31,11.375
16.32,11.331
16.33,11.200
16.34,11.112
16.35,11.200
16.36,11.068
16.37,11.200
16.38,10.936
16.39,11.024
16.4,10.936
16.41,11.200
16.42,10.936
16.43,11.156
16.44,11.156
16.45,11.112
16.46,11.244
16.47,11.200
16.48,11.244
16.49,11.068
16.5,11.200
16.51,11.112
16.52,11.156
16.53,11.244
16.54,11.200
16.55,11.156
16.56,11.287
16.57,11.287
16.58,11.200
16.59,11.200
16.6,11.068
16.61,11.200
16.62,11.200
16.63,11.024
16.64,11.112
16.65,10.936
16.66,11.200
16.67,11.068
16.68,10.892
16.69,10.848
16.7,10.892
16.71,10.980
16.72,10.980
16.73,11.068
16.74,10.892
16.75,10.980
16.76,10.980
16.77,10.892
16.78,10.804
16.79,10.760
16.8,10.716
16.81,11.024
16.82,10.936
16.83,10.892
16.84,10.848
16.85,10.892
16.86,10.936
16.87,10.804
16.88,10.760
16.89,10.629
16.9,10.804
16.91,11.024
16.92,10.980
16.93,11.200
16.94,11.112
16.95,10.980
16.96,11.068
16.97,10.980
16.98,11.024
16.99,10.892
17,10.980
17.01,10.848
17.02,10.892
17.03,11.024
17.04,10.980
17.05,10.936
17.06,10.892
17.07,10.980
17.08,10.936
17.09,10.936
17.1,10.936
17.11,10.980
17.12,11.156
17.13,11.156
17.14,11.200
17.15,11.200
17.16,11.200
17.17,11.287
17.18,11.244
17.19,11.331
17.2,11.331
17.21,11.156
17.22,11.068
17.23,11.244
17.24,11.200
17.25,11.156
17.26,11.156
17.27,11.200
17.28,10.980
17.29,10.936
17.3,10.980
17.31,11.024
17.32,10.848
17.33,10.936
17.34,10.980
17.35,10.892
17.36,10.892
17.37,10.980
17.38,10.980
17.39,10.892
17.4,10.892
17.41,10.804
17.42,10.848
17.43,10.848
17.44,10.848
17.45,10.629
17.46,10.672
17.47,10.848
17.48,10.760
17.49,10.716
17.5,10.629
17.51,10.716
17.52,10.848
17.53,10.804
17.54,10.848
17.55,10.804
17.56,10.848
17.57,10.936
17.58,10.804
17.59,11.024
17.6,10.804
17.61,11.024
17.62,11.024
17.63,10.892
17.64,10.936
17.65,10.892
17.66,10.936
17.67,10.980
17.68,11.024
17.69,11.024
17.7,11.024
17.71,11.156
17.72,11.068
17.73,11.112
17.74,10.936
17.75,10.804
17.76,10.804
17.77,10.848
17.78,10.936
17.79,10.848
17.8,10.804
17.81,10.980
17.82,10.892
17.83,10.804
17.84,10.760
17.85,10.848
17.86,10.585
17.87,10.848
17.88,10.936
17.89,10.804
17.9,10.760
17.91,10.892
17.92,10.848
17.93,10.892
17.94,10.804
17.95,10.804
17.96,10.804
17.97,10.672
17.98,10.804
17.99,10.716
18,10.804
18.01,10.892
18.02,10.892
18.03,10.804
18.04,10.848
18.05,10.848
18.06,10.541
18.07,10.629
18.08,10.672
18.09,10.672
18.1,10.585
18.11,10.629
18.12,10.804
18.13,10.804
18.14,10.672
18.15,10.892
18.16,10.804
18.17,10.672
18.18,10.716
18.19,10.453
18.2,10.716
18.21,10.716
18.22,10.629
18.23,10.585
18.24,10.672
18.25,10.497
18.26,10.585
18.27,10.541
18.28,10.672
18.29,10.716
18.3,10.716
18.31,10.672
18.32,10.848
18.33,10.716
18.34,10.848
18.35,10.672
18.36,10.629
18.37,10.760
18.38,11.024
18.39,10.804
18.4,10.672
18.41,10.672
18.42,10.585
18.43,10.760
18.44,10.716
18.45,10.629
18.46,10.585
18.47,10.629
18.48,10.848
