Timestamp(ms),Current(uA)
12.89,0.217
12.9,0.349
12.91,0.349
12.92,0.305
12.93,0.261
12.94,0.217
12.95,0.261
12.96,0.261
12.97,0.000
12.98,0.000
12.99,0.000
13,0.000
13.01,0.000
13.02,0.000
13.03,0.000
13.04,0.000
13.05,0.000
13.06,0.000
13.07,0.000
13.08,0.000
13.09,0.000
13.1,0.000
13.11,0.393
13.12,0.437
13.13,0.349
13.14,0.261
13.15,0.261
13.16,0.393
13.17,0.261
13.18,0.305
13.19,0.217
13.2,0.000
13.21,0.000
13.22,0.000
13.23,0.217
13.24,0.217
13.25,0.000
13.26,0.000
13.27,0.305
13.28,0.349
13.29,0.481
13.3,0.305
13.31,0.305
13.32,0.217
13.33,0.217
13.34,0.217
13.35,0.000
13.36,0.261
13.37,0.305
13.38,0.000
13.39,0.000
13.4,0.000
13.41,0.000
13.42,0.000
13.43,0.000
13.44,0.000
13.45,0.000
13.46,0.000
13.47,0.000
13.48,0.000
13.49,0.000
13.5,0.217
13.51,0.217
13.52,0.000
13.53,0.000
13.54,0.305
13.55,0.217
13.56,0.000
13.57,0.217
13.58,0.217
13.59,0.000
13.6,0.000
13.61,0.000
13.62,0.000
13.63,0.217
13.64,0.000
13.65,0.000
13.66,0.000
13.67,0.000
13.68,0.000
13.69,0.000
13.7,0.000
13.71,0.217
13.72,0.000
13.73,0.305
13.74,0.217
13.75,0.000
13.76,0.261
13.77,0.261
13.78,0.261
13.79,0.349
13.8,0.000
13.81,0.305
13.82,0.305
13.83,0.000
13.84,0.217
13.85,0.349
13.86,0.481
13.87,0.261
13.88,0.261
13.89,0.437
13.9,0.217
13.91,0.000
13.92,0.217
13.93,0.305
13.94,0.217
13.95,0.000
13.96,0.217
13.97,0.217
13.98,0.349
13.99,0.261
14,0.261
14.01,0.349
14.02,0.000
14.03,0.349
14.04,0.349
14.05,0.437
14.06,0.349
14.07,0.569
14.08,0.305
14.09,0.000
14.1,0.261
14.11,0.305
14.12,0.393
14.13,0.261
14.14,0.000
14.15,0.349
14.16,0.349
14.17,0.000
14.18,0.305
14.19,0.261
14.2,0.000
14.21,0.000
14.22,0.000
14.23,0.000
14.24,0.000
14.25,0.217
14.26,0.000
14.27,0.000
14.28,0.000
14.29,0.000
14.3,0.000
14.31,0.000
14.32,0.000
14.33,0.000
14.34,0.000
14.35,0.217
14.36,0.349
14.37,0.305
14.38,0.305
14.39,0.349
14.4,0.261
14.41,0.393
14.42,0.000
14.43,0.000
14.44,0.000
14.45,0.000
14.46,0.000
14.47,0.000
14.48,0.000
14.49,0.000
14.5,0.000
14.51,0.000
14.52,0.000
14.53,0.000
14.54,0.000
14.55,0.217
14.56,0.000
14.57,0.000
14.58,0.261
14.59,0.000
14.6,0.000
14.61,0.000
14.62,0.000
14.63,0.000
14.64,0.000
14.65,0.000
14.66,0.000
14.67,0.000
14.68,0.000
14.69,0.000
14.7,0.000
14.71,0.000
14.72,0.000
14.73,0.000
14.74,0.000
14.75,0.000
14.76,0.000
14.77,0.000
14.78,0.000
14.79,0.000
14.8,0.000
14.81,0.000
14.82,0.000
14.83,0.000
14.84,0.000
14.85,0.000
14.86,0.000
14.87,0.000
14.88,0.000
14.89,0.000
14.9,0.000
14.91,0.000
14.92,0.000
14.93,0.000
14.94,0.217
14.95,0.000
14.96,0.000
14.97,0.000
14.98,0.000
14.99,0.305
15,0.217
15.01,0.305
15.02,0.217
15.03,0.393
15.04,0.217
15.05,0.217
15.06,0.000
15.07,0.000
15.08,0.349
15.09,0.000
15.1,0.000
15.11,0.261
15.12,0.000
15.13,0.217
15.14,0.261
15.15,0.000
15.16,0.000
15.17,0.217
